['bhadakaatii', 'भड़काती']
['bagiya', 'बगियाँ']
['banu', 'बनू']
['baharoopiya', 'बहरूपिया']
['bahrupiya', 'बहरूपिया']
['bagule', 'बगुले']
['bum', 'बुम']
['bichhadon', 'बिछड़ों']
['boondon', 'बूंदों']
['buundon', 'बूंदों']
['bichada', 'बिचड़ा']
['bhulaai', 'भुलाई']
['bhulaayi', 'भुलाई']
['bedili', 'बेदिली']
['barbaadeeyon', 'बर्बादीयों']
['baaliyaan', 'बालियाँ']
['baaliyan', 'बालियाँ']
['badhaake', 'बढ़ाके']
['bahaayoge', 'बहाओगे']
['bahaaoge', 'बहाओगे']
['bandi', 'बन्दी']
['bataayega', 'बताएगा']
['bhadaken', 'भड़कें']
['bhulunga', 'भूलूंगा']
['bhooluunga', 'भूलूंगा']
['bhuluungaa', 'भूलूंगा']
['booti', 'बूटी']
['bheji', 'भेजी']
['bhatakenge', 'भटकेंगे']
['bulabulo', 'बुलबुलो']
['bati', 'बती']
['bujhaayenge', 'बुझायेंगे']
['bachega', 'बचेगा']
['bachegaa', 'बचेगा']
['basayen', 'बसायें']
['baawali', 'बावली']
['baavali', 'बावली']
['bida', 'बिदा']
['banuun', 'बनूं']
['bikharana', 'बिखरना']
['bahalata', 'बहलता']
['ballaa', 'बल्ला']
['baithegaa', 'बैठेगा']
['badhoge', 'बढ़ोगे']
['bazaar', 'बज़ार']
['bhatakyon', 'भटक्यों']
['bainyya', 'बैंय्या']
['bichhaaenge', 'बिछाएंगे']
['bichhayenge', 'बिछाएंगे']
['bikharaaenge', 'बिखराएंगे']
['baiyyaa', 'बैया']
['baiya', 'बैया']
['beliya', 'बेलिया']
['bachapana', 'बचपना']
['bachapanaa', 'बचपना']
['banogi', 'बनोगी']
['bhidate', 'भिड़ते']
['baba', 'बब']
['bababababa', 'बबबबब']
['bedar', 'बेदर']
['bhibidiika', 'भिबिड़ीका']
['bijaliya', 'बिजलिया']
['baandhen', 'बाँधें']
['bhaanja', 'भांजा']
['bitaane', 'बिताने']
['bechate', 'बेचते']
['bekaab', 'बेख़ाब']
['bulaaun', 'बुलाऊँ']
['bulaau', 'बुलाऊँ']
['bulaaoon', 'बुलाऊँ']
['bulaayuun', 'बुलाऊँ']
['bulaauun', 'बुलाऊँ']
['banabanake', 'बनबनके']
['bayaabaan', 'बयाबान']
['behis', 'बेहिस']
['baazigar', 'बाज़ीगर']
['bajavat', 'बजावत']
['bisraana', 'बिसराना']
['buhaarunga', 'बुहारूंगा']
['bahako', 'बहको']
['barasaayen', 'बरसाएं']
['barasaaen', 'बरसाएं']
['bagadam', 'बगड़म']
['billaa', 'बिल्ला']
['bahaare', 'बहारे']
['baka', 'बका']
['bhaagam', 'भागम']
['bak', 'बक']
['buk', 'बुक']
['baandha', 'बांधा']
['bhulaayen', 'भुलाएं']
['bagaan', 'बगान']
['bagaanon', 'बगानों']
['bichhaaoon', 'बिछाऊँ']
['bichhaoo', 'बिछाऊँ']
['bezubaani', 'बेज़ुबानी']
['bhadakaaen', 'भड़काएं']
['bikhraye', 'बिखराए']
['bansiya', 'बँसिया']
['bansi', 'बनसी']
['bitiya', 'बितिया']
['buniyaad', 'बुनियाद']
['banaaunga', 'बनाऊँगा']
['banaoonga', 'बनाऊँगा']
['bharunga', 'भरूँगा']
['bhainson', 'भैंसों']
['billiyon', 'बिल्लियों']
['bhadakne', 'भड़कने']
['basaavaan', 'बसावां']
['bahaaun', 'बहाऊँ']
['bidesava', 'बिदेसवा']
['baabula', 'बाबुला']
['baheliya', 'बहेलिया']
['barasaaye', 'बरसायें']
['bataade', 'बतादे']
['buland', 'बुलन्द']
['bahaaro', 'बहारो']
['baharo', 'बहारो']
['bunty', 'बंटी']
['bubbly', 'बबली']
['boliyon', 'बोलियों']
['baabbaa', 'बाब्बा']
['bajuu', 'बजू']
['baatilapana', 'बातिलपना']
['bihaar', 'बिहार']
['baskar', 'बसकर']
['baaraaton', 'बारातों']
['bali', 'बलि']
['bandhaaya', 'बँधाया']
['bikungi', 'बिकूँगी']
['berahami', 'बेरहमी']
['baandhon', 'बाँधों']
['beimaani', 'बेइमानी']
['bekason', 'बेकसों']
['beton', 'बेटों']
['buudhe', 'बूढ़े']
['bhuulengi', 'भूलेंगी']
['bhel', 'भेल']
['behayaayi', 'बेहयाई']
['badhaavo', 'बढ़ावो']
['bhuulane', 'भूलने']
['bhoolne', 'भूलने']
['bhulane', 'भूलने']
['beqadare', 'बेक़दरे']
['beekadre', 'बेक़दरे']
['bandho', 'बांधो']
['baariyaan', 'बारियाँ']
['baariyan', 'बारियाँ']
['baksaa', 'बक्सा']
['baksa', 'बक्सा']
['banjarapaan', 'बंजारापन']
['bachapane', 'बचपने']
['bitaayein', 'बिताएँ']
['bitaayen', 'बिताएँ']
['baate', 'बाते']
['bichauna', 'बिचौना']
['bevaquufi', 'बेवक़ूफ़ी']
['bhaavan', 'भावन']
['bose', 'बोसे']
['bag', 'बग']
['baadaami', 'बादामी']
['bahaaraan', 'बहाराँ']
['bahaara', 'बहाराँ']
['bharti', 'भरती']
['baayen', 'बायें']
['baawalaa', 'बावला']
['bhaawanaao', 'भावनाओ']
['bahaao', 'बहाओ']
['baharon', 'बहरों']
['bahalaayenge', 'बहलाएँगे']
['bahaakar', 'बहाकर']
['badane', 'बड़ने']
['bhigoyi', 'भिगोई']
['bhigoi', 'भिगोई']
['bichhud', 'बिछुड़']
['bahaale', 'बहाले']
['badnasibi', 'बद्नसीबी']
['bisaar', 'बिसार']
['bichaare', 'बिचारे']
['baharoopiyon', 'बहरूपियों']
['bachaata', 'बचाता']
['badhaiye', 'बढ़ाइये']
['badhaaiye', 'बढ़ाइये']
['bachaiye', 'बचाइये']
['bachaaiye', 'बचाइये']
['banaanevaala', 'बनानेवाला']
['banaanewaala', 'बनानेवाला']
['bhitar', 'भीतर']
['bandishen', 'बंदिशें']
['bandishein', 'बंदिशें']
['bheegate', 'भीगते']
['bachaayenge', 'बचाएँगे']
['bala', 'बाला']
['baalaa', 'बाला']
['baala', 'बाला']
['bhiigegii', 'भीगेगी']
['bheegegee', 'भीगेगी']
['bili', 'बिलि']
['buland', 'बुलंद']
['bhaagunga', 'भागूंगा']
['balki', 'बल्कि']
['buron', 'बुरों']
['bhalon', 'भलों']
['baind', 'बैंड']
['bhadakaane', 'भड़काने']
['bahakaai', 'बहकाई']
['bitayein', 'बितायें']
['bitaye', 'बितायें']
['barsaaye', 'बर्सायें']
['boonde', 'बूँदे']
['bigaade', 'बिगाड़े']
['baalaapan', 'बालापन']
['bhulaayunga', 'भुलाऊँगा']
['beqaraariyon', 'बेक़रारियों']
['barasaato', 'बरसातो']
['bhigoke', 'भिगोके']
['bandhanon', 'बन्धनों']
['bisaraayaa', 'बिसराया']
['bisaraaya', 'बिसराया']
['bhaavanaa', 'भावना']
['bhavana', 'भावना']
['baaten', 'बाटें']
['bhulakar', 'भुलकर']
['bujhaaungi', 'बुझाऊंगी']
['bithaungi', 'बिठाऊंगी']
['barbaadi', 'बर्बादी']
['barabaadee', 'बर्बादी']
['barbaadee', 'बर्बादी']
['barbaadii', 'बर्बादी']
['bulaayen', 'बुलायें']
['bichaki', 'बिचकी']
['bahaake', 'बहाके']
['beedi', 'बीड़ी']
['bidi', 'बीड़ी']
['bujhen', 'बुझें']
['bujhein', 'बुझें']
['bujhe', 'बुझें']
['bahalati', 'बहलती']
['bataaen', 'बताएँ']
['bataye', 'बताएँ']
['bataayein', 'बताएँ']
['bataaein', 'बताएँ']
['bataayen', 'बताएँ']
['bhuulaaen', 'भूलाएँ']
['behkoge', 'बहकोगे']
['balkha', 'बलखा']
['behakegi', 'बहकेगी']
['bedil', 'बेदिल']
['bamba', 'बम्बा']
['bambaa', 'बम्बा']
['bezubaan', 'बेज़ुबां']
['bahalaayega', 'बहलायेगा']
['bahalayega', 'बहलयेगा']
['badakaari', 'बदकारी']
['biraane', 'बीराने']
['benazir', 'बेनज़ीर']
['badalein', 'बदलीं']
['bhaagti', 'भागती']
['bhaagati', 'भागती']
['behte', 'बहतें']
['bholapan', 'भोलपन']
['balim', 'बलिम']
['buddha', 'बुद्ध']
['bhugolam', 'भुगोलम']
['bibhrate', 'बिभ्रते']
['bahubal', 'बहुबल']
['baahute', 'बाहुते']
['bichaaye', 'बिछाईं']
['bhulaake', 'भुलाके']
['bahaayenge', 'बहाएँगे']
['bitaaun', 'बिताउँ']
['bulaay', 'बुलाय']
['bulaai', 'बुलाय']
['bhiyaay', 'भियाय']
['bhiiyako', 'भीयको']
['bandini', 'बंदिनी']
['batalaaiye', 'बतलाइये']
['bhaane', 'भाने']
['boom', 'बूम']
['buum', 'बूम']
['banjaare', 'बन्जारे']
['bichhudana', 'बिछुड़ना']
['bandal', 'बंडल']
['bholebhaale', 'भोलेभाले']
['bhuton', 'भूतों']
['bataane', 'बताने']
['billoor', 'बिल्लूर']
['bajaay', 'बजाय']
['bachaate', 'बचाते']
['bandhwaale', 'बँधवाले']
['baaroodon', 'बारूदों']
['baro', 'भरो']
['bandhaataa', 'बंधाता']
['bandhaata', 'बंधाता']
['bikharaati', 'बिखराती']
['basaaun', 'बसाऊँ']
['basaale', 'बसाले']
['bisarein', 'बिसरें']
['bisarate', 'बिसरते']
['baanchana', 'बांचना']
['baniyaan', 'बनियान']
['bitein', 'बीतें']
['beeten', 'बीतें']
['beetein', 'बीतें']
['building', 'बिल्डिंग']
['bechenge', 'बेचेंगे']
['badmaash', 'बदमाश']
['batawa', 'बटावा']
['befikarein', 'बेफिकरें']
['befikrey', 'बेफिकरें']
['badmaashi', 'बदमाशी']
['bars', 'बार्स']
['barasana', 'बरसना']
['banaavati', 'बनावटी']
['bachegi', 'बचेगी']
['buland', 'बलन्द']
['beshak', 'बेशक']
['band', 'बनद']
['baajat', 'बाजत']
['balat', 'बलत']
['bidhi', 'बिधी']
['bidhi', 'बिधि']
['bisarat', 'बिसरत']
['bharamaana', 'भरमाना']
['bigadenge', 'बिगड़ेंगे']
['bujhaayogi', 'बुझाओगी']
['baantoge', 'बांटोगे']
['bhulaiya', 'भुलैया']
['bade', 'बदे']
['bilakhta', 'बिलखता']
['basant', 'बसंत']
['bekaraiyun', 'बेकरारियों']
['badaam', 'बदाम']
['bikharaane', 'बिखराने']
['bani', 'बानी']
['bhaari', 'बानी']
['baani', 'बानी']
['bujhaavo', 'बुझावो']
['beparda', 'बेपरदा']
['begaan', 'बेगाँ']
['bahaayen', 'बहाएँ']
['bhoolen', 'भूलें']
['barfeela', 'बर्फ़ीला']
['baandhane', 'बाँधने']
['baandho', 'बाँधो']
['baasuriya', 'बासुरिया']
['baadalo', 'बादलो']
['bhraat', 'भ्रात']
['bandh', 'बन्ध']
['buzdil', 'बुज़्दिल']
['boola', 'बूला']
['baankelaal', 'बाँकेलाल']
['bhulaaenge', 'भुलाएंगे']
['bich', 'बिच']
['bharaao', 'भराओ']
['bijariya', 'बिजरिया']
['baadar', 'बादर']
['badalawaaya', 'बदलवाया']
['bhaavaj', 'भावज']
['batiyon', 'बतियों']
['bohale', 'बोहले']
['barasela', 'बरसेला']
['buundan', 'बूँदन']
['bundan', 'बूँदन']
['bhigi', 'भीगि']
['bareli', 'बरेली']
['brindaaban', 'ब्रिंदाबन']
['bewaqt', 'बेवक़्त']
['bhikhaaran', 'भिखारन']
['bendre', 'बेन्द्रे']
['bahuroopiyaa', 'बहुरूपिया']
['bhaaun', 'भाऊँ']
['banmaa', 'बनमा']
['bulaakar', 'बुलाकर']
['beniyaazi', 'बेनयाज़ी']
['baageshvari', 'बागेश्वरी']
['baapare', 'बापरे']
['boriye', 'बोरिये']
['bumbro', 'बुम्बरो']
['bumbaro', 'बुम्बरो']
['barasaata', 'बरसाता']
['barsaata', 'बरसाता']
['banajaare', 'बनजारे']
['baanch', 'बाँच']
['baancho', 'बाँचो']
['batata', 'बताता']
['bataata', 'बताता']
['bichhaden', 'बिछड़ें']
['barasaayuun', 'बरसाऊँ']
['barasaaun', 'बरसाऊँ']
['barsaaoon', 'बरसाऊँ']
['buudaa', 'बूदा']
['bachaayega', 'बचाएगा']
['batalaate', 'बतलाते']
['basaai', 'बसायी']
['baadashaahi', 'बादशाही']
['basaake', 'बसाके']
['barapa', 'बरपा']
['bark', 'बर्क']
['badhaayein', 'बढ़ायें']
['barahami', 'बरहमी']
['barasun', 'बरसूँ']
['barsoon', 'बरसूँ']
['bigadegi', 'बिगड़ेगी']
['bundiya', 'बूँदिया']
['belariya', 'बेलरिया']
['buundan', 'बून्दन']
['barasaakar', 'बरसाकर']
['bhudhu', 'बुद्धू']
['badhana', 'बढ़ना']
['badhanaa', 'बढ़ना']
['bulaaegaa', 'बुलाएगा']
['bhokataa', 'भोकता']
['brindaapan', 'ब्रिंदापन']
['baajon', 'बाजों']
['bikharata', 'बिखरता']
['bansari', 'बंसरी']
['bijaliyaan', 'बिजलीयाँ']
['banaayake', 'बनायके']
['bhool', 'भोओल']
['bhujhaa', 'भुझा']
['baawareeyaan', 'भाँवरिया']
['bakawaas', 'बकवास']
['baraaton', 'बरातों']
['batloungi', 'बतलाऊँगी']
['bunoo', 'बुनो']
['buno', 'बुनो']
['barfon', 'बर्फ़ों']
['bhuuchaal', 'भूचाल']
['badanasibee', 'बदनसीबी']
['badanasibi', 'बदनसीबी']
['bahaayen', 'बहाएं']
['bahaaen', 'बहाएं']
['baandhanevaale', 'बाँधनेवाले']
['bisaare', 'बिसारे']
['bayaanbaan', 'बयांबां']
['banere', 'बनेरे']
['baalan', 'बालन']
['baseron', 'बसेरों']
['bemaayani', 'बेमायनी']
['bhuuluungaa', 'भूलूँगा']
['baqavaas', 'बक़वास']
['bigaaro', 'बिगारो']
['baraseen', 'बरसीं']
['boondaniyaan', 'बून्दनियाँ']
['baalakapan', 'बालकपन']
['bansari', 'बन्सरी']
['babaa', 'बबा']
['banavaake', 'बनवाके']
['bhhul', 'भ्हुल']
['boliyon', 'बोलियो']
['bichaana', 'बिछाना']
['bolunga', 'बोलूँगा']
['boluunga', 'बोलूँगा']
['bujhaayi', 'बुझानी']
['bujaani', 'बुझानी']
['baadashaahon', 'बादशाहों']
['baadshahon', 'बादशाहों']
['bura', 'भरा']
['buraa', 'भरा']
['baahaar', 'बाहार']
['bahekaave', 'बहकावे']
['bijuriya', 'बिजुरिय']
['bujhaaye', 'बुझायें']
['buna', 'बुना']
['bujahata', 'बुजहता']
['basaate', 'बसाते']
['bhigoyii', 'भिगोयी']
['bulaat', 'बुलात']
['badnazar', 'बदनज़र']
['bitaaye', 'बिताए']
['bithaye', 'बिताए']
['baaga', 'बागा']
['beheti', 'बेहती']
['behete', 'बेहते']
['banengi', 'बनेंगी']
['buzadilon', 'बुज़दिलों']
['buzdilon', 'बुज़दिलों']
['bhejiyo', 'भेजियो']
['barasengi', 'बरसेंगी']
['bandhake', 'बाँधके']
['bimaaron', 'बीमारों']
['biskut', 'बिस्कुट']
['balavaanon', 'बलवानों']
['bholenath', 'भोलेनाथ']
['banani', 'बनानी']
['boliye', 'बोलिए']
['bolie', 'बोलिए']
['bolengee', 'बोलेंगी']
['birange', 'बिरंगे']
['besur', 'बेसुर']
['bagalagir', 'बगलगीर']
['butaan', 'बुतान']
['butakade', 'बुतकदे']
['baqa', 'बक़ा']
['bachein', 'बचें']
['bithaati', 'बिठाती']
['bhaati', 'भाती']
['baahon', 'बाहोन']
['banavaayuun', 'बनवाऊँ']
['bikam', 'बिकम']
['badnaami', 'बद्नामी']
['batiyan', 'बत्तियां']
['bhaagyavati', 'भाग्यवती']
['bhaalo', 'भालो']
['baashi', 'बाशी']
['baila', 'बाइला']
['bandaaparavar', 'बंदापरवर']
['bindi', 'बिंदी']
['baati', 'बाति']
['bayaani', 'बयानी']
['bulaava', 'बुलावा']
['budha', 'बूढ़ा']
['baguule', 'बगूले']
['bezabaani', 'बेज़बानी']
['balaraam', 'बलराम']
['basaiya', 'बसैया']
['bhagaton', 'भगतों']
['baansariwaala', 'बाँसरीवाला']
['balati', 'बलती']
['baajaaya', 'बाजाया']
['ballu', 'बल्लू']
['bhondu', 'भोंदू']
['basan', 'बसन']
['bachiyo', 'बचियो']
['biso', 'बिसो']
['bidaai', 'बिदाइ']
['bhulaate', 'भुलाते']
['bante', 'बंटे']
['baayein', 'बाएँ']
['bayein', 'बाएँ']
['bunda', 'बुन्दा']
['bejubaan', 'बेजुबां']
['baaghi', 'बागी']
['baadal', 'बादिल']
['bason', 'बसों']
['buddhi', 'बुद्धि']
['bunta', 'बुनता']
['boonta', 'बुनता']
['beikthiyaar', 'बेइख़्थियार']
['baithaave', 'बैठावे']
['beche', 'बेचे']
['bhim', 'भीम']
['baadaa', 'बादा']
['bedaariyaan', 'बेदारियां']
['barq', 'बर्क़']
['bombay', 'बम्बई']
['barange', 'बरंगे']
['bujhaate', 'बुझाते']
['banaavo', 'बनावो']
['bhul', 'भुल']
['baanchate', 'बांचते']
['bhulake', 'भूलाके']
['bhigoyi', 'भीगोई']
['bheegoi', 'भीगोई']
['bajaiya', 'बजैया']
['basat', 'बसत']
['bijaliyon', 'बिजलीयों']
['bantaadhaar', 'बंटाधार']
['boe', 'बोए']
['bachati', 'बचती']
['bachatii', 'बचती']
['bachaati', 'बचाती']
['bachaatii', 'बचाती']
['bajwana', 'बजवाना']
['baanki', 'बांकी']
['bhagava', 'भगवा']
['bhun', 'भुन']
['baanh', 'बांह']
['badhaai', 'बधाई']
['badhai', 'बधाई']
['baantati', 'बाँटती']
['bansiwaala', 'बन्सीवाला']
['brajabaala', 'ब्रजबाला']
['balkhaye', 'बलखाए']
['baing', 'बैंग']
['boyega', 'बोयेगा']
['baatenge', 'बाटेंगे']
['bairaniya', 'बैरनिया']
['bidesiya', 'बिदेसिया']
['bikharega', 'बिखरेगा']
['barachhi', 'बरछी']
['bandooken', 'बंदूकें']
['bhoochaalon', 'भूचालों']
['boti', 'बोटी']
['brij', 'ब्रिज']
['bhaagyavidhaata', 'भाग्यविधाता']
['baahaane', 'बाहाने']
['bunate', 'बुनते']
['baari', 'बारि']
['bakheda', 'बखेड़ा']
['birama', 'बिरमा']
['bhigat', 'भीगत']
['bhaktajanon', 'भक्तजनों']
['bagula', 'बगुला']
['bakka', 'बक्का']
['bepeer', 'बेपीर']
['bichhdegi', 'बिछड़ेगी']
['bhulaiyon', 'भुलैयों']
['baavaan', 'बाँवां']
['buliyaan', 'बुलियां']
['bhejein', 'भेजें']
['bhaate', 'भाते']
['bejjati', 'बेज्जती']
['balaayen', 'बलायें']
['balaayein', 'बलायें']
['bihaaran', 'बिहारन']
['bhaabhiyaan', 'भाभियाँ']
['baithiye', 'बैठिये']
['bharegi', 'भरेगी']
['basaaoge', 'बसाओगे']
['bedaapaar', 'बेड़ापार']
['bedapar', 'बेड़ापार']
['barambar', 'बारम्बार']
['baarambaar', 'बारम्बार']
['bundein', 'बुन्दें']
['barakhaawaali', 'बरखावाली']
['bainaa', 'बैंना']
['bastiyaan', 'बस्तियां']
['bahiyaan', 'बहियां']
['bezubaaniyaan', 'बेज़ुबानियाँ']
['banjaara', 'बन्जारा']
['bede', 'बेड़े']
['beh', 'बेह']
['bhulaaya', 'भूलाया']
['bhikhaarin', 'भिखारिन']
['bedam', 'बेदम']
['bharamaaye', 'भरमाये']
['barafon', 'बरफ़ों']
['beiktiyaar', 'बेइख़्तियार']
['balaiyaan', 'बलैयाँ']
['badamast', 'बदमस्त']
['bhaan', 'भान']
['buddham', 'बुद्धम']
['bewafaai', 'बेवफाई']
['bhujhaaye', 'भुझाये']
['bakul', 'बकुल']
['bichchhua', 'बिच्छुआ']
['bichchhuaa', 'बिच्छुआ']
['baandhuun', 'बाँधूँ']
['bulaavuun', 'बुलावूँ']
['butakhaane', 'बुतखाने']
['basad', 'बसद']
['betuke', 'बेतुके']
['balaaon', 'बलाओं']
['bajaane', 'बजाने']
['baithunga', 'बैठूंगा']
['bahaari', 'बहारी']
['bahalaayuunga', 'बहलाऊँगा']
['baike', 'बैके']
['bujhaayiye', 'बुझाईये']
['balaiya', 'बलैया']
['bitaana', 'बिताना']
['bithaane', 'बिठाने']
['baduu', 'बड़ू']
['bachegi', 'बचेंगी']
['barasaanaa', 'बरसाना']
['basamein', 'बसमें']
['bachay', 'बचाय']
['bataaungi', 'बताऊँगी']
['bhara', 'बैरा']
['baira', 'बैरा']
['bulaatin', 'बुलातीं']
['banaayegi', 'बनाएगी']
['bhaanp', 'भांप']
['bachaalo', 'बचालो']
['bhida', 'भिड़ा']
['bisaara', 'बिसारा']
['banajaara', 'बनजारा']
['bajegi', 'बजेंगी']
['baanke', 'बांके']
['bimla', 'बिमला']
['byopaar', 'ब्योपार']
['bahakaate', 'बहकाते']
['bidaai', 'बिदाई']
['bahaut', 'बहौत']
['bahut', 'बहौत']
['banne', 'बन्ने']
['bhopaali', 'भोपाली']
['buhaarun', 'बुहारूँ']
['buzadili', 'बुज़दिली']
['bibi', 'बीबी']
['balaiyan', 'बलाइयाँ']
['bahu', 'बहु']
['barabas', 'बरबस']
['barbas', 'बरबस']
['balkhana', 'बलखाना']
['banaaen', 'बनाएं']
['bhumi', 'भूमी']
['bogi', 'बोगी']
['bhaiyon', 'भाईयों']
['badayegi', 'बढ़ाएगी']
['bardaasht', 'बर्दाश्त']
['bankar', 'बन्कर']
['badloon', 'बदलूँ']
['baavre', 'बावारे']
['baaware', 'बावारे']
['baharen', 'बहरें']
['bujhaaen', 'बुझाएं']
['bhijwa', 'भिजवा']
['baandhyo', 'बाँध्यो']
['badanaamiyaan', 'बदनामियां']
['batalaaun', 'बतलाऊं']
['bebaat', 'बेबात']
['bihaayi', 'बिहायी']
['badaamaan', 'बदामाँ']
['bulaayi', 'बुलाई']
['bulaai', 'बुलाई']
['bitaata', 'बिताता']
['batonse', 'बतोंसे']
['bhogi', 'भोगी']
['bidaahi', 'बिदाही']
['baaharakii', 'बाहरकी']
['bhuulon', 'भूलों']
['bhigoongi', 'भीगूँगी']
['bheegungi', 'भीगूँगी']
['bahalaaoge', 'बहलाओगे']
['badho', 'बढ़ो']
['baswaari', 'बस्वारि']
['birhi', 'बिर्ही']
['bolan', 'बोलन']
['birahin', 'बिरहिन']
['baaron', 'बारों']
['bachon', 'बचों']
['bhukhe', 'भुखे']
['budtameezi', 'बदतमीज़ी']
['badsurat', 'बदसूरत']
['baalepan', 'बालेपन']
['bemol', 'बेमोल']
['bichhaati', 'बिछाती']
['bichaati', 'बिछाती']
['baankpan', 'बंकपन']
['balva', 'बलवा']
['bichaar', 'बिचार']
['bidhaata', 'बिधाता']
['bhigonaa', 'भिगोना']
['baadshaah', 'बाद्शाह']
['batlaado', 'बतलादो']
['baraske', 'बरसके']
['bisvi', 'बीस्वी']
['bahakaaya', 'बहकाया']
['behayaaon', 'बेहयाओं']
['beti', 'बेती']
['bharen', 'भरें']
['bullesha', 'बुल्लेशा']
['bahiyan', 'बहियन']
['bisaraayuun', 'बिसराऊँ']
['bekaso', 'बेकसो']
['bachaaun', 'बचाऊँ']
['bahalane', 'बहलने']
['bahakaata', 'बहकाता']
['bahakar', 'बहकर']
['bhunan', 'भुनान']
['bepanaah', 'बेपनाह']
['bolanewaala', 'बोलनेवाला']
['banwaayenge', 'बनवाएँगे']
['banwayenge', 'बनवाएँगे']
['baichain', 'बैचाईन']
['barbar', 'बर्बर']
['barf', 'बर्फ']
['bachaayegi', 'बचाएगी']
['baithna', 'बैठना']
['baasha', 'बाशा']
['behra', 'बेहरा']
['bandish', 'बंदिश']
['badhata', 'बढ़ता']
['berangi', 'बेरंगी']
['bachaini', 'बचानी']
['bechaini', 'बचानी']
['bhavare', 'भावरे']
['bulle', 'बुल्ले']
['boharaaya', 'बोहराया']
['bunana', 'बुनना']
['buji', 'बुजी']
['bujhi', 'बुजी']
['bechainiya', 'बेचैनिया']
['bhaang', 'भांग']
['bichhadane', 'बिच्छादने']
['baai', 'बाई']
['bai', 'बाई']
['bhuka', 'भूका']
['badun', 'बदुन']
['bari', 'बरी']
['bhari', 'बरी']
['beauty', 'ब्यूटी']
['barle', 'बारले']
['bharle', 'बारले']
['batlaunga', 'बतलौंगा']
['baatoin', 'बाटोइन']
['banware', 'बावरें']
['baawarein', 'बावरें']
['banwariya', 'बावारिया']
['baawariya', 'बावारिया']
['beja', 'बेजा']
['bharatiya', 'भारतीय']
['bade', 'बड़े']
['bahut', 'बहुत']
['badhiya', 'बढ़िया']
['bhojan', 'भोजन']
['bachpan', 'बचपन']
['beeta', 'बीता']
['baad', 'बाद']
['bahar', 'बाहर']
['bangalore', 'बैंगलोर']
['bhi', 'भी']
['bike', 'बाईक']
['bike', 'बाइक']
['bus', 'बस']
['bed', 'बेड']
['baarish', 'बारिश']
['banda', 'बंदा']
['ban', 'बन']
['bechare', 'बेचारे']
['bande', 'बंदे']
['bana', 'बना']
['baare', 'बारे']
['boring', 'बोरिंग']
['bad', 'बाद']
['baachpan', 'बचपन']
['baareme', 'बारेमें']
['baas', 'बस']
['berhampore', 'बेरहामपुर']
['bangal', 'बंगाल']
['berhampore', 'बेहरामपुर']
['bihar', 'बिहार']
['beete', 'बीते']
['bachchan', 'बच्चन']
['bhaagee', 'भागी']
['bhee', 'भी']
['baithu', 'बैठूं']
['bhaag', 'भाग']
['baate', 'बातें']
['baar', 'बार']
['banta', 'बनता']
['bhaarat', 'भारत']
['bada', 'बडा']
['bada', 'बड़ा']
['bharat', 'भारत']
['basai', 'बसाई']
['bane', 'बने']
['barsat', 'बरसात']
['baris', 'बारिश']
['bhig', 'भीग']
['bina', 'बिना']
['bhige', 'भीगे']
['beemar', 'बीमार']
['bacchi', 'बच्ची']
['bate', 'बातें']
['bore', 'बोर']
['biryaani', 'बिरयानी']
['bas', 'बस']
['badlaav', 'बदलाव']
['baahar', 'बाहर']
['banane', 'बनाने']
['barisha', 'बारिश']
['baayein', 'बातें']
['baat', 'बात']
['bh', 'भी']
['bunk', 'बंक']
['bhigo', 'भिंगो']
['by', 'बाई']
['but', 'बट']
['badal', 'बदल']
['batien', 'बातें']
['barrackpur', 'बैरकपुर']
['bangal', 'बंगल']
['bhilai', 'भिलाई']
['bataanaa', 'बताना']
['busy', 'बिजी']
['behad', 'बेहद']
['bicar', 'बाइकार्ब']
['bees', 'बीस']
['bayan', 'बयान']
['bhrasht', 'भ्रष्ट']
['buildero', 'बिल्डरों']
['bbc', 'बीबीसी']
['bazaar', 'बाज़ार']
['bsc', 'बीएससी']
['baithak', 'बैठक']
['budget', 'बजट']
['bureau', 'ब्यूरो']
['baad', 'बाद']
['badhayi', 'बधाई']
['baithak', 'बैठक']
['bhajapa', 'भाजपा']
['banking', 'बैंकिंग']
['bank', 'बैंक']
['bharat', 'भारत']
['batallion', 'बटालियन']
['badhotri', 'बढ़ोत्तरी']
['bhool', 'भूल']
['baap', 'बाप']
['bhajpai', 'भाजापाई']
['bhopal', 'भोपाल']
['bandh', 'बंद']
['bolna', 'बोलना']
['bhar', 'भर']
['bitt', 'वित्त']
['balanimankkam', 'पलानिमक्कम']
['bas', 'वश']
['baat', 'बात']
['bibhinn', 'विभिन्न']
['bhaago', 'भागों']
['badha', 'बड़ा']
['bhole', 'भोले']
['bhaale', 'भाले']
['batayi', 'बताई']
['bharatiye', 'भारतीय']
['bideshi', 'विदेशी']
['bazaar', 'बाजार']
['baangli', 'बार्गली']
['baaziya', 'बाजियाँ']
['beette', 'बीतते']
['bhitar', 'भीतर']
['blitz', 'ब्लिट्ज']
['babulal', 'बाबुलाल']
['bharath', 'भारत']
['banao', 'बनाओ']
['barkarar', 'बरकरार']
['balki', 'बल्कि']
['bhavishya', 'भविष्य']
['badi', 'बड़ी']
['bhartiya', 'भारतीय']
['banaya', 'बनाया']
['bhad', 'बढ़']
['bhujal', 'भुजल']
['badlaaoon', 'बदलावों']
