['dehke', 'दहके']
['doli', 'डॉली']
['dasse', 'डाससे']
['d', 'द']
['dhaahni', 'ढाहनी']
['ditta', 'दीतता']
['darji', 'दर्जी']
['deeva', 'दीवा']
['dhal', 'ढाल']
['daal', 'ढाल']
['dhoondon', 'ढूँदों']
['ding', 'डींग']
['dillaggi', 'दिल्लग्गी']
['dekhoge', 'देखोगे']
['deriyaan', 'दरियाँ']
['doriyaan', 'डोरियाँ']
['dekhu', 'देखु']
['dekhun', 'देखु']
['dinna', 'डिना']
['dina', 'डिना']
['dubake', 'डुबके']
['dino', 'दीनो']
['dikhenge', 'दिखेंगे']
['dulheraaje', 'दूलहेराजे']
['dawaakhaana', 'दवाखाना']
['dagariyaa', 'डगरिया']
['dagariya', 'डगरिया']
['deewaani', 'दीवानि']
['dekhanewaale', 'देखनेवाले']
['dekhanevaale', 'देखनेवाले']
['dhuundhenge', 'ढूँढेंगे']
['dhundhenge', 'ढूँढेंगे']
['dhoondhenge', 'ढूँढेंगे']
['dafa', 'दफ़ा']
['dafaa', 'दफ़ा']
['dikhaayun', 'दिखाऊँ']
['dikhaun', 'दिखाऊँ']
['dikhaaoon', 'दिखाऊँ']
['dikhaauun', 'दिखाऊँ']
['dikhaaun', 'दिखाऊँ']
['dilakhaana', 'दिलखाना']
['daaku', 'डाकू']
['daku', 'डाकू']
['det', 'देत']
['damak', 'दमक']
['darawaaye', 'डरवाये']
['dilanashi', 'दिलनशी']
['dilnashi', 'दिलनशी']
['divan', 'दीवन']
['diri', 'दीरी']
['damakate', 'दमकते']
['dagamagaane', 'डगमगाने']
['dagmagane', 'डगमगाने']
['dun', 'दुन']
['deden', 'देदें']
['dulaari', 'दुलारी']
['dulari', 'दुलारी']
['dhaana', 'ढाना']
['dhana', 'ढाना']
['dulha', 'दुल्हा']
['dulhaa', 'दुल्हा']
['daanvaadol', 'डाँवाडोल']
['dilanashin', 'दिलनशीं']
['dilanashee', 'दिलनशीं']
['dhul', 'धूल']
['deteen', 'देतीं']
['detee', 'देतीं']
['detin', 'देतीं']
['dekhie', 'देखिए']
['daaruun', 'डारूँ']
['duulhe', 'दूल्हे']
['doolhe', 'दूल्हे']
['dulhe', 'दूल्हे']
['dagaa', 'दगा']
['daga', 'दगा']
['dinon', 'दीनों']
['dopahar', 'दोपहर']
['dopeher', 'दोपहर']
['dopaher', 'दोपहर']
['daudti', 'दौड़ती']
['daudati', 'दौड़ती']
['dugna', 'दुगना']
['dugana', 'दुगना']
['dhima', 'धीमा']
['dhimaa', 'धीमा']
['darenge', 'डरेंगे']
['dareinge', 'डरेंगे']
['dekhegi', 'देखेगी']
['dekhegii', 'देखेगी']
['dekhegee', 'देखेगी']
['dil', 'डिल']
['door', 'दोओर']
['doluungi', 'डोलूँगी']
['daalein', 'डालें']
['daalen', 'डालें']
['deewangi', 'दीवनगी']
['dekhale', 'देखले']
['daastaanen', 'दास्तानें']
['dastane', 'दास्तानें']
['dastanen', 'दास्तानें']
['daastaanein', 'दास्तानें']
['dukha', 'दुखा']
['dukhaa', 'दुखा']
['daaroga', 'दारोगा']
['daulatavaala', 'दौलतवाला']
['dukhaati', 'दुखाती']
['duniyaavaale', 'दुनियावाले']
['duniyawale', 'दुनियावाले']
['dhaanche', 'ढाँचे']
['doharaaengi', 'दोहराएंगी']
['daudi', 'दौड़ी']
['dhuli', 'धुली']
['duniyaan', 'दुनियां']
['dohoraayen', 'दोहोरायें']
['dolati', 'डोलती']
['dolatii', 'डोलती']
['dolti', 'डोलती']
['doobne', 'दूबने']
['dikhaaen', 'दिखाएं']
['dikhaayen', 'दिखाएं']
['daahine', 'दाहिने']
['daaroongi', 'डारूँगी']
['dolan', 'डोलन']
['daana', 'दाना']
['dana', 'दाना']
['doli', 'डोलि']
['dillagi', 'दिल्लगि']
['daara', 'डारा']
['doobane', 'डूबने']
['doobne', 'डूबने']
['dehakta', 'दहकता']
['dabana', 'दबाना']
['dabaana', 'दबाना']
['dabaanaa', 'दबाना']
['daari', 'डारी']
['daarii', 'डारी']
['dasataan', 'दसताँ']
['dis', 'दिस']
['dagamagaakar', 'डगमगाकर']
['daraata', 'डराता']
['daawe', 'दावें']
['dilasa', 'दिलासा']
['dilaasaa', 'दिलासा']
['dilaasa', 'दिलासा']
['dilhasa', 'दिलासा']
['dhadkane', 'धड़कने']
['dore', 'डोरे']
['dhula', 'धुला']
['dhulaa', 'धुला']
['dikhaaiye', 'दिखाइये']
['darbaar', 'दरबार']
['darabaar', 'दरबार']
['darbar', 'दरबार']
['dastak', 'दस्तक']
['daalake', 'डालके']
['dabaaya', 'दबाया']
['dukaniya', 'दुकनिया']
['daabaa', 'दाबा']
['doliya', 'डोलिया']
['doliyaan', 'डोलिया']
['dukhana', 'दुखाना']
['dukhaana', 'दुखाना']
['dukhaanaa', 'दुखाना']
['dodhari', 'दोधारी']
['dodhaari', 'दोधारी']
['digari', 'डिगरी']
['darane', 'डरने']
['darrne', 'डरने']
['darne', 'डरने']
['daali', 'दारी']
['dhiting', 'धिटिंग']
['dhira', 'धिरा']
['dhir', 'धिर']
['dolun', 'डोलूँ']
['doluun', 'डोलूँ']
['dukhaaun', 'दुखाऊँ']
['doharaaya', 'दोहराया']
['don', 'दोन']
['dekhhe', 'देख्हे']
['dilajale', 'दिलजले']
['diljale', 'दिलजले']
['dilaao', 'दिलाओ']
['dilaayo', 'दिलाओ']
['dhadakaana', 'धड़काना']
['daasi', 'दासी']
['daasee', 'दासी']
['daasii', 'दासी']
['dhaya', 'ढाया']
['dhaaya', 'ढाया']
['dumak', 'दुमक']
['dilaara', 'दिलारा']
['diyaan', 'दियां']
['diyan', 'दियां']
['dumahale', 'दुमहले']
['daulatavaale', 'दौलतवाले']
['dhanavaanon', 'धनवानों']
['dhanavanon', 'धनवानों']
['dhanwano', 'धनवानों']
['deva', 'देवा']
['devaa', 'देवा']
['deeyon', 'दीयों']
['dilaake', 'दिलाके']
['dikhalaaye', 'दिखलाए']
['darmiyaan', 'दर्मियाँ']
['dekhuungi', 'देखूंगी']
['dekhoongi', 'देखूंगी']
['dekhungi', 'देखूंगी']
['daravajjaa', 'दरवज्जा']
['daravajja', 'दरवज्जा']
['dilaayaa', 'दिलाया']
['dilaaya', 'दिलाया']
['dhakel', 'धकेल']
['daagi', 'दागी']
['dhishum', 'ढिशुम']
['dukhada', 'दुखड़ा']
['dukhda', 'दुखड़ा']
['dill', 'दिल्ल']
['daasataan', 'दासतान']
['dilajalon', 'दिलजलों']
['diljalon', 'दिलजलों']
['devata', 'देवता']
['devataa', 'देवता']
['devta', 'देवता']
['devtaa', 'देवता']
['dewataa', 'देवता']
['dast', 'दस्त']
['dhuvaan', 'धुवाँ']
['dhuwaan', 'धुवाँ']
['dastakein', 'दस्तकें']
['duniyawaale', 'दुनियवाले']
['daas', 'दास']
['das', 'दास']
['duboe', 'डुबोए']
['dhadaknon', 'धड़क्नों']
['diivaan', 'दीवान']
['diwan', 'दीवान']
['dikhaye', 'दिखाएँ']
['dikhaayen', 'दिखाएँ']
['daaloo', 'डालूँ']
['daaloon', 'डालूँ']
['daalun', 'डालूँ']
['duusari', 'दूसरी']
['dusri', 'दूसरी']
['dusari', 'दूसरी']
['doosari', 'दूसरी']
['duusarii', 'दूसरी']
['dikhe', 'दीखे']
['deri', 'देरी']
['deree', 'देरी']
['dhaaro', 'धारो']
['dhaarenge', 'धारेंगे']
['dushton', 'दुश्तों']
['dhaalak', 'धालक']
['dino', 'दिनो']
['dilbar', 'दिल्बर']
['dukhane', 'दुखने']
['dhuli', 'धूलि']
['dikhaaun', 'दिखाऊं']
['dubote', 'डुबोते']
['darasal', 'दरसल']
['dimak', 'दीमक']
['dhaniya', 'धनिया']
['dhan', 'धान']
['dohe', 'दोहे']
['dardi', 'दर्दी']
['dhila', 'ढीला']
['daadhi', 'दाड़ी']
['daanv', 'दाँव']
['doo', 'दोओ']
['dubtaa', 'डूबता']
['doobata', 'डूबता']
['doobtaa', 'डूबता']
['doobta', 'डूबता']
['duubata', 'डूबता']
['daasataan', 'दासताँ']
['daastaan', 'दासताँ']
['dastaan', 'दासताँ']
['dijiye', 'दीजिये']
['deejiye', 'दीजिये']
['dukhaaye', 'दुखाये']
['dukhiyaare', 'दुखियारे']
['daulatein', 'दौलतें']
['dilaan', 'दिलां']
['dikhaave', 'दिखावे']
['dikhawe', 'दिखावे']
['deevaanapan', 'दीवानपन']
['dekhti', 'देखतीं']
['dozak', 'दोज़ख़']
['deed', 'दीद']
['did', 'दीद']
['dida', 'दीद']
['dilgir', 'दिलगीर']
['daarun', 'डारूं']
['daalati', 'डालती']
['ding', 'डिंग']
['dang', 'डांग']
['daang', 'डांग']
['dhalenge', 'ढलेंगे']
['doobegi', 'डूबेगी']
['dubegi', 'डूबेगी']
['duubegi', 'डूबेगी']
['dushamani', 'दुशमनी']
['dekhungi', 'देखूँगी']
['dekhoongi', 'देखूँगी']
['dhoke', 'धोके']
['dhokhe', 'धोके']
['daraate', 'डराते']
['dala', 'डला']
['dalaa', 'डला']
['daftar', 'दफ़्तर']
['dilip', 'दिलीप']
['diliip', 'दिलीप']
['deewala', 'दीवाला']
['deevaala', 'दीवाला']
['diwaala', 'दीवाला']
['deevaari', 'दीवारी']
['deewaari', 'दीवारी']
['doharaati', 'दोहराती']
['doharaatee', 'दोहराती']
['doharati', 'दोहराती']
['dabaaye', 'दबाये']
['damakal', 'दमकल']
['dhadakaaye', 'धड़काये']
['dhadkaaye', 'धड़काये']
['dafana', 'दफ़ना']
['deena', 'दीना']
['dinaa', 'दीना']
['dina', 'दीना']
['daakiya', 'डाकिया']
['dardanaak', 'दर्दनाक']
['daadi', 'दादी']
['dadi', 'दादी']
['daalega', 'डालेगा']
['daalaa', 'दाला']
['doharaye', 'दोहराये']
['doharaaye', 'दोहराये']
['dohraaye', 'दोहराये']
['dostaanaa', 'दोस्ताना']
['dostaana', 'दोस्ताना']
['dostana', 'दोस्ताना']
['daanon', 'दानों']
['dhanavaalon', 'धनवालों']
['dehradun', 'देहरादून']
['deharaaduun', 'देहरादून']
['dilavaalon', 'दिलवालोँ']
['dauraan', 'दौरान']
['dikhlayengi', 'दिखलाएंगी']
['deem', 'दीम']
['dim', 'दीम']
['dere', 'देरे']
['dete', 'देतें']
['dogi', 'दोगी']
['dogii', 'दोगी']
['deriyaan', 'देरियां']
['daare', 'डारे']
['daliyaan', 'डलियां']
['daadaageeri', 'दादागीरी']
['dhota', 'धोता']
['dilabari', 'दिलबरी']
['daraane', 'डराने']
['dekhogi', 'देखोगी']
['dildaaron', 'दिलदारों']
['dikhaoonga', 'दिखाऊंगा']
['dikhaunga', 'दिखाऊंगा']
['dikhata', 'दिखाता']
['dikhaata', 'दिखाता']
['dandiya', 'डांडिया']
['dhadkaati', 'धड़काती']
['dhadakaati', 'धड़काती']
['dhadkati', 'धड़काती']
['dariicha', 'दरीचा']
['dareechaa', 'दरीचा']
['dahar', 'दहर']
['dikhaake', 'दिखाके']
['dagamagaaye', 'डगमगाए']
['dagamagaae', 'डगमगाए']
['dilaae', 'दिलाए']
['dhakela', 'धकेला']
['dangal', 'दंगल']
['didi', 'दीदी']
['deedi', 'दीदी']
['daravaajon', 'दरवाजों']
['dikhalaate', 'दिखलाते']
['dagaabaaz', 'दगाबाज़']
['dalhne', 'ढलने']
['dolegi', 'डोलेगी']
['dolegee', 'डोलेगी']
['dukhne', 'दूखन']
['daudane', 'दौड़ने']
['dhaagon', 'धागों']
['dilaane', 'दिलाने']
['dhwani', 'ध्वनी']
['daanaveer', 'दानवीर']
['dhvaj', 'ध्वज']
['deh', 'देह']
['dhingaa', 'धिंगा']
['dhingi', 'धिंगी']
['dinan', 'दिनन']
['dikhalaaja', 'दिखलाजा']
['dashto', 'दश्तो']
['duniyadaaron', 'दुनियादारों']
['dhadkaya', 'धड़काया']
['dhadkaaya', 'धड़काया']
['dushamanon', 'दुशमनों']
['diya', 'दियाँ']
['diyaan', 'दियाँ']
['duddh', 'दुद्ध']
['dheron', 'ढेरों']
['dushkritaam', 'दुष्कृताम']
['dansa', 'डँसा']
['dekhi', 'देकी']
['dikhalaane', 'दिखलाने']
['damaadam', 'दमादम']
['ditam', 'दितम']
['dolega', 'डोलेगा']
['damasaaz', 'दमसाज़']
['daraayengi', 'डराएँगी']
['dolate', 'डोलते']
['dilane', 'दिलने']
['dilako', 'दिलको']
['doosaree', 'दोओसरी']
['dareeche', 'दरीचे']
['dariiche', 'दरीचे']
['dariche', 'दरीचे']
['dekhali', 'देखली']
['dooni', 'दूनी']
['duuni', 'दूनी']
['dhulataa', 'धुलता']
['dhulta', 'धुलता']
['dhulate', 'धुलते']
['dhulte', 'धुलते']
['dharegi', 'धरेगी']
['dutkaar', 'दुत्कार']
['deenaaron', 'दीनारों']
['darbaaron', 'दरबारों']
['dejaa', 'देजा']
['dhuk', 'धुक']
['dungaa', 'दुँगा']
['dabati', 'दबती']
['daata', 'दात']
['divaalii', 'दिवाली']
['diwaali', 'दिवाली']
['divaali', 'दिवाली']
['dungi', 'दूँगि']
['deevaanepan', 'दीवानेपन']
['deewanepan', 'दीवानेपन']
['deewaanepan', 'दीवानेपन']
['deewanapan', 'दीवानेपन']
['dagmagaaye', 'दग्मगाये']
['dukhiyaari', 'दुखियारी']
['dukhiyaarii', 'दुखियारी']
['daanton', 'दांतों']
['daren', 'डरें']
['daavedaar', 'दावेदार']
['dukhade', 'दुखड़े']
['dishaayen', 'दिशाएँ']
['dauharaayegaa', 'दौहरायेगा']
['divaa', 'दिवा']
['dhaaye', 'धाये']
['devo', 'देवो']
['daaluungi', 'डालूँगी']
['daaloongi', 'डालूँगी']
['doraahe', 'दोराहे']
['dhongi', 'ढोंगी']
['dishayen', 'दिशाएं']
['dishaaen', 'दिशाएं']
['dishaaein', 'दिशाएं']
['daanav', 'दानव']
['dinaraai', 'दिनराई']
['dushaala', 'दुशाला']
['dushaalaa', 'दुशाला']
['dhundli', 'धुँधली']
['dushman', 'दुशमन']
['dahakate', 'दहकते']
['dhooye', 'धोओये']
['diladaari', 'दिलदारी']
['dildari', 'दिलदारी']
['dildaari', 'दिलदारी']
['damakegi', 'दमकेगी']
['dara', 'डरा']
['daraa', 'डरा']
['darra', 'डरा']
['daag', 'दाघ']
['de', 'डे']
['daramiyaan', 'दरमियान']
['doriyon', 'डोरियों']
['dilke', 'दिलके']
['dekhal', 'देखल']
['duurase', 'दूरसे']
['doharaana', 'दोहराना']
['daant', 'दांत']
['daav', 'दाव']
['dil', 'दील']
['daraayegi', 'डरायेगी']
['dekhuungaa', 'देखूँगा']
['dekhuunga', 'देखूँगा']
['dekhoonga', 'देखूँगा']
['daaru', 'दारु']
['dasatur', 'दसतूर']
['dikhaauungi', 'दिखाऊँगी']
['dikhaungi', 'दिखाऊँगी']
['disko', 'डिस्को']
['dhuundhegi', 'ढूँढेगी']
['dhoondhegi', 'ढूँढेगी']
['dhundhegi', 'ढूँढेगी']
['darda', 'डर्दा']
['dhaate', 'ढाते']
['dekhee', 'देखीं']
['dekhin', 'देखीं']
['dhim', 'धिम']
['dikhaaogi', 'दिखाओगी']
['diye', 'दीये']
['deeye', 'दीये']
['dukhiyaara', 'दुखियारा']
['dagamagaayega', 'डगमगाएगा']
['daavat', 'दावत']
['daawata', 'दावत']
['davat', 'दावत']
['daawat', 'दावत']
['dale', 'डले']
['diyo', 'दियो']
['dinesh', 'दिनेश']
['dayaar', 'दयार']
['dhyaavey', 'ध्यावे']
['dagaduu', 'दगड़ू']
['dondil', 'दोंदिल']
['dravinm', 'द्रविणम']
['dvivedyanaanayuto', 'द्विवेद्यनानयुतो']
['dhokhebaaz', 'धोखेबाज़']
['dardamandon', 'दर्दमंदों']
['dhalega', 'ढलेगा']
['darzi', 'दर्ज़ी']
['doriyaan', 'डोरियां']
['darindon', 'दरिंदों']
['dabake', 'दबके']
['dhanwan', 'धनवान']
['dhanwaan', 'धनवान']
['dohraane', 'दोहराने']
['dubaa', 'डुबा']
['duba', 'डुबा']
['deewaron', 'दीवरों']
['dhaane', 'ढाने']
['dagamagaaye', 'डगमगाये']
['dagmagaye', 'डगमगाये']
['dhundhaten', 'धुन्दतें']
['duuniya', 'दूनिया']
['dastur', 'दस्तुर']
['daaliyaan', 'डालियाँ']
['daaliyan', 'डालियाँ']
['daliyan', 'डालियाँ']
['daudta', 'दौड़ता']
['du', 'दू']
['duu', 'दू']
['dasegi', 'डसेगी']
['dhak', 'धाक']
['doharaayen', 'दोहराएँ']
['dosh', 'दोस']
['daarling', 'डार्लिंग']
['darling', 'डार्लिंग']
['darwaaze', 'दरवाजे']
['daravaaje', 'दरवाजे']
['daave', 'दावे']
['dikhalaaye', 'दिखलाये']
['dikhlaaye', 'दिखलाये']
['daawatein', 'दावतें']
['daavatein', 'दावतें']
['dharon', 'धारों']
['dhaaron', 'धारों']
['daayen', 'दाएं']
['dohraoon', 'दोहराऊँ']
['dolata', 'डोलता']
['dolta', 'डोलता']
['daamaan', 'दामान']
['dhalengii', 'ढलेंगी']
['deeni', 'दीनी']
['dhaavo', 'ढावो']
['dharogi', 'धरोगी']
['dukkon', 'दुक्कों']
['dhundhoge', 'ढूँढोगे']
['daminiya', 'दमिनिया']
['damako', 'दमको']
['duukaan', 'दूकान']
['dipamaala', 'दीपमाला']
['dosh', 'दोश']
['devar', 'देवर']
['dopahari', 'दोपहरी']
['danaadan', 'दनादन']
['dassa', 'दस्सा']
['dariyaaon', 'दरियाओं']
['dariyaayon', 'दरियाओं']
['dooba', 'दूबा']
['duubana', 'डूबना']
['doobna', 'डूबना']
['doharaao', 'दोहराओ']
['dahaade', 'दहाड़े']
['dikhalaaoonga', 'दिखलाऊँगा']
['darunga', 'डरूँगा']
['daudega', 'दौड़ेगा']
['duaar', 'दुआर']
['dhaari', 'धारी']
['dhadakega', 'धड़केगा']
['dikhayega', 'दिखाएगा']
['dikhaayega', 'दिखाएगा']
['dikhaaega', 'दिखाएगा']
['dehka', 'देह्का']
['dopehro', 'दुपहरों']
['dubkiyaa', 'डुबकियाँ']
['dekhna', 'देखन']
['dekhan', 'देखन']
['dikhaakar', 'दिखाकर']
['dilvaale', 'दिल्वाले']
['duaayen', 'दुआयें']
['duaayein', 'दुआयें']
['duvaayein', 'दुआयें']
['dulahan', 'दुलहन']
['dulhan', 'दुलहन']
['dasane', 'डसने']
['doharaa', 'दोहरा']
['dohara', 'दोहरा']
['dhundale', 'धुंदले']
['duubakar', 'डूबकर']
['daramiyaan', 'दरम्यां']
['dabadabaane', 'दबदबाने']
['daaliyo', 'डालियों']
['doorabin', 'दूरबीन']
['dahi', 'दही']
['dhoti', 'धोती']
['daalkar', 'डालकर']
['daakuon', 'डाकुओँ']
['domahalon', 'दोमहलों']
['dosto', 'दोस्तो']
['daar', 'दार']
['dushmanom', 'दुश्मनोम']
['dhoondunga', 'ढूँढूँगा']
['dhamaaka', 'धमाका']
['dhamaakaa', 'धमाका']
['dahari', 'दहरी']
['daayen', 'दायें']
['dhim', 'ढिम']
['daaminiyaan', 'दामिनियाँ']
['duaare', 'दुआरे']
['dilaaun', 'दिलाऊं']
['dilipakumaaram', 'दिलीपकुमारम']
['devaanandam', 'देवानन्दम']
['dhaani', 'धानी']
['dikhaanevaala', 'दिखानेवाला']
['dikhte', 'दिखते']
['daraadon', 'दराड़ों']
['daulu', 'दौलू']
['daulataraam', 'दौलतराम']
['damakat', 'दमकत']
['daamaniya', 'दामनिया']
['dhamkiyon', 'धमकियों']
['duniyaan', 'दूनियाँ']
['dikhalaayuunga', 'दिखलाऊंगा']
['daade', 'दादे']
['doharaate', 'दोहराते']
['dohraate', 'दोहराते']
['doobegaa', 'डूबेगा']
['dubega', 'डूबेगा']
['dulha', 'दुलहा']
['dildara', 'दिलदारा']
['dildaaraa', 'दिलदारा']
['diladaaraa', 'दिलदारा']
['dikhaayenge', 'दिखाएँगे']
['dushmanaa', 'दुश्मना']
['dildaar', 'दिलदर']
['dikhane', 'दिखने']
['dikhne', 'दिखने']
['duniyawaalon', 'दुनियावालों']
['duniyaavaalon', 'दुनियावालों']
['dukhte', 'दुखते']
['dukhate', 'दुखते']
['dilaayega', 'दिलायेगा']
['dukhaake', 'दुखाके']
['dagamaga', 'डगमगा']
['dagamagaa', 'डगमगा']
['dagmaga', 'डगमगा']
['dukhaao', 'दुखाओ']
['dushavaar', 'दुशवार']
['dushvaar', 'दुशवार']
['daraayegi', 'डराएगी']
['dikhega', 'दीखेगा']
['dilajir', 'दिलजीर']
['daalegi', 'डालेंगी']
['dikhar', 'दिखर']
['daalan', 'डालन']
['doharaata', 'दोहराता']
['dayaani', 'दयानी']
['dhrutavan', 'ध्रुतवन']
['dhumaketum', 'धुमकेतुम']
['dangon', 'दंगों']
['dohraye', 'दोहराए']
['dikhaati', 'दिखाती']
['dejo', 'देजो']
['dikhaayegi', 'दिखाएगी']
['dikhayegi', 'दिखाएगी']
['deevane', 'दीवने']
['deepu', 'दीपू']
['dimpal', 'डिम्पल']
['dardaan', 'दर्दाँ']
['daalane', 'डालने']
['dukhega', 'दुखेगा']
['dur', 'दुर']
['daaliye', 'डालिये']
['dilo', 'दिलो']
['denge', 'देँगे']
['daaluun', 'डालूं']
['dedi', 'देदी']
['dedii', 'देदी']
['dehari', 'देहरी']
['dhaanpana', 'ढांपना']
['daant', 'दाँत']
['daad', 'दाद']
['dad', 'दाद']
['dont', 'डोंट']
['dhuwaan', 'धुवान']
['duwaao', 'दुवाओ']
['dinar', 'डिनर']
['dalile', 'दलीले']
['dvaara', 'द्वारा']
['dwara', 'द्वारा']
['daudegi', 'दौड़ेगी']
['doraahon', 'दोराहों']
['dohraaen', 'दोहराएं']
['dhitang', 'धितंग']
['dildaariyaan', 'दिलदारियाँ']
['dushavaariyaan', 'दुशवारियाँ']
['darinda', 'दरिंदा']
['dishayein', 'दिशायें']
['dhoodti', 'ढूँढती']
['dhundti', 'ढूँढती']
['dilashaad', 'दिलशाद']
['dhrati', 'धरती']
['dolun', 'डोलूं']
['dhikkaare', 'धिक्कारे']
['dagamagaataa', 'डगमगाता']
['dagamagaata', 'डगमगाता']
['dhalunga', 'ढालूँगा']
['dhiraj', 'धिरज']
['dukhaare', 'दुखारे']
['dum', 'डुम']
['daaliyon', 'डालीयों']
['damakati', 'दमकती']
['daamin', 'दामिन']
['dilaadaar', 'दिलादार']
['dohale', 'दोहले']
['dile', 'दिले']
['dasti', 'डसती']
['dasati', 'डसती']
['darungi', 'डरूँगी']
['devara', 'देवरा']
['daravesh', 'दरवेश']
['daalenge', 'डालेंगे']
['darabaan', 'दरबान']
['dhadakaata', 'धड़काता']
['dhadakaataa', 'धड़काता']
['duii', 'दुई']
['daamanko', 'दामन्को']
['dilvaala', 'दिल्वाला']
['dulaar', 'दुलार']
['dular', 'दुलार']
['davaaon', 'दवाओं']
['dawaaon', 'दवाओं']
['daaka', 'डाका']
['daka', 'डाका']
['dulahaniya', 'दुलहनिया']
['dulhaniyaa', 'दुलहनिया']
['dilruba', 'दिल्रुबा']
['dohrayega', 'दोहरायेगा']
['dijeeyegaa', 'दीजियेगा']
['deejiyega', 'दीजियेगा']
['dijiyega', 'दीजियेगा']
['dushmanaan', 'दुश्मनाँ']
['dardva', 'दरदवा']
['dahakati', 'दहकती']
['dushnaam', 'दुश्नाम']
['dilachasp', 'दिलचस्प']
['dipon', 'दीपों']
['deepon', 'दीपों']
['dikhte', 'दिकह्ते']
['darkaar', 'दरकार']
['dushton', 'दुष्टों']
['dali', 'डली']
['durjan', 'दुर्जन']
['digant', 'दिगन्त']
['darinde', 'दरिन्दे']
['dikhalaana', 'दिखलाना']
['dyodii', 'द्योड़ी']
['daravesh', 'दरवेष']
['doharaayenge', 'दोहरायेंगे']
['duvaayen', 'दुवाएं']
['diwano', 'दीवनो']
['dikhalaao', 'दिखलाओ']
['daregi', 'डरेगी']
['daregee', 'डरेगी']
['dhola', 'धोला']
['dukhadon', 'दुखड़ों']
['darja', 'दरजा']
['duvidha', 'दुविधा']
['daalat', 'डालत']
['doraa', 'डोरा']
['dhaatum', 'ढातुम']
['dokha', 'धोखा']
['dilruba', 'दिलरूबा']
['dulhaare', 'दुलारे']
['dulaare', 'दुलारे']
['dolat', 'डोलत']
['dum', 'दूम']
['dukhiyaan', 'दुखियां']
['dekun', 'देकूं']
['doshaala', 'दोशाला']
['dukhaate', 'दुखाते']
['dilbaron', 'दिलबरों']
['dilbaro', 'दिलबरों']
['dukhe', 'दुखे']
['dukhaya', 'दुखाया']
['dhunata', 'धुनता']
['dabo', 'डबो']
['duhkhadaayak', 'दुःखदायक']
['dhamaake', 'धमाके']
['dafanaaya', 'दफ़नाया']
['dabana', 'दबना']
['dilabarajaaniyaan', 'दिलबरजानियां']
['daaing', 'डाइंग']
['doliyaan', 'डोलियां']
['dabate', 'दबते']
['duaaon', 'दुआओँ']
['duniyaayein', 'दुनियाएं']
['dushkarmon', 'दुष्कर्मों']
['duhaiyaa', 'दुहैया']
['dikhegi', 'दिखेगी']
['dushhyant', 'दुष्यन्त']
['drishhti', 'द्रिष्टी']
['durvaasa', 'दुर्वासा']
['dharitri', 'धरित्री']
['darrogi', 'दरोगी']
['deewaanapan', 'दीवनापन']
['dhadakayegaa', 'धड़काएगा']
['dansana', 'डँसना']
['dansega', 'डँसेगा']
['dahalij', 'दहलीज']
['dilaai', 'दिलाई']
['dheri', 'ढेरी']
['dhadakaane', 'धड़काने']
['dhadkaane', 'धड़काने']
['daraar', 'दरार']
['daamaalo', 'दामालो']
['dhondiba', 'धोंडीबा']
['dhondibaa', 'धोंडीबा']
['devaange', 'देवांगे']
['drum', 'द्रुम']
['dudhum', 'धुधुम']
['duhkhon', 'दुःखों']
['duriyan', 'दूरीयाँ']
['deshadrohi', 'देशद्रोही']
['diwaanon', 'दीवनों']
['dikhaavo', 'दिखावो']
['dilaphenk', 'दिलफेंक']
['dolo', 'डोलो']
['duung', 'डूंग']
['dassiye', 'दस्सिये']
['dimaag', 'दिमाग़']
['dabata', 'दबता']
['doriya', 'डोरिया']
['dumakit', 'दुमकित']
['dahaada', 'दहाड़ा']
['devaan', 'देवां']
['dayiya', 'दइया']
['dabaake', 'दबाके']
['dhalegi', 'ढलेगी']
['dan', 'दन']
['dhaala', 'ढाला']
['dikhaayegaa', 'दिखायेगा']
['dubota', 'डुबोता']
['dayaalu', 'दयालु']
['dori', 'डोरि']
['dasiye', 'दसिये']
['dasahara', 'दसहरा']
['dille', 'ढीले']
['dhadkta', 'धड़कता']
['dhadkaaoge', 'धड़काओगे']
['dagamagaana', 'डगमगाना']
['duraaye', 'दुराये']
['daaram', 'दारम']
['dhundhun', 'ढूँढूँ']
['dhobaniyaan', 'धोबनियां']
['deekri', 'डीकरी']
['darja', 'दर्जा']
['dariyo', 'डरियो']
['durbhaagya', 'दुर्भाग्य']
['durbhagya', 'दुर्भाग्य']
['dayavan', 'दयावान']
['dhule', 'धुले']
['digaa', 'डिगा']
['diga', 'डिगा']
['deviyon', 'देवियों']
['daanten', 'डाँटें']
['dhya', 'ध्या']
['dhakelati', 'धकेलती']
['dil', 'द्ल']
['davaai', 'दवाई']
['dawai', 'दवाई']
['doobengi', 'डूबेंगी']
['dolegi', 'डोलेगि']
['daagon', 'दागों']
['dorangi', 'दोरंगी']
['disi', 'दिसी']
['dehu', 'देहु']
['diya', 'दिय']
['dhoondhengi', 'ढूँढेंगी']
['danvaadol', 'डँवाडोल']
['dilkashi', 'दिल्कशी']
['duboti', 'डुबोती']
['dariyaadilii', 'दरियादिली']
['dedo', 'देदो']
['duanni', 'दुअन्नी']
['dilnavaazi', 'दिलनवाज़ी']
['dukhaaye', 'दुखाए']
['dahak', 'दहक']
['doliyon', 'डोलियों']
['deewane', 'दीवानें']
['diwaane', 'दीवानें']
