['hawaa', 'हवा']
['hindaaru', 'हिंडारू']
['havaan', 'हवां']
['haalaahal', 'हालाहल']
['halam', 'हलम']
['hoonk', 'हूँक']
['hoonk', 'हूंक']
['hirday', 'हिरदय']
['hiraday', 'हिरदय']
['hamapyaala', 'हमप्याला']
['hamanivaalaa', 'हमनिवाला']
['hava', 'हव']
['hoyaan', 'होयाँ']
['hij', 'हिज']
['haareyaa', 'हारेया']
['hatuungaa', 'हटूँगा']
['hilori', 'हिलोरी']
['hori', 'होरी']
['hamara', 'हमार्रा']
['hujum', 'हुजूम']
['halo', 'हलो']
['hafte', 'हफ़्ते']
['hasake', 'हसाके']
['haarata', 'हारता']
['hotel', 'होटेल']
['hataao', 'हटाओ']
['hataayo', 'हटाओ']
['hole', 'होले']
['hasane', 'हंसने']
['hansane', 'हंसने']
['hansatii', 'हंसती']
['hisson', 'हिस्सों']
['hansoongi', 'हँसूँगी']
['hamse', 'हम्से']
['haaro', 'हारो']
['hatata', 'हटता']
['hatataa', 'हटता']
['hatta', 'हटता']
['halaahal', 'हलाहल']
['haandi', 'हांडी']
['hindola', 'हिंडोला']
['hinndola', 'हिंडोला']
['hataane', 'हटाने']
['hurrr', 'हुर्र्र']
['hathapaayi', 'हाथापायी']
['haathapaayi', 'हाथापायी']
['haak', 'हाँक']
['honevaale', 'होनेवाले']
['harajaana', 'हरजाना']
['hano', 'हनो']
['haaramoniyam', 'हारमोनियम']
['hilaana', 'हिलाना']
['helo', 'हेलो']
['haau', 'हाउ']
['hotalon', 'होटलों']
['hamazabaan', 'हमज़बाँ']
['hataake', 'हटाके']
['hijaabon', 'हिजाबों']
['hasinon', 'हसींओं']
['harek', 'हरेक']
['hinaayi', 'हिनाई']
['hairaton', 'हैरतों']
['hichakiyaan', 'हिचकियाँ']
['haalatein', 'हालतें']
['hansaton', 'हँसतों']
['hanston', 'हँसतों']
['hakiqat', 'हकीक़त']
['hamdam', 'हम्दम']
['hatoon', 'हटूँ']
['hit', 'हित']
['hunkaarein', 'हुंकारें']
['hansana', 'हंसना']
['hansanaa', 'हंसना']
['hasna', 'हंसना']
['hirye', 'हीरिये']
['hazam', 'हज़म']
['hansi', 'हँसि']
['haanf', 'हाँफ़']
['haaqim', 'हाक़िम']
['hilne', 'हिलने']
['hilane', 'हिलने']
['hyaa', 'ह्या']
['halchal', 'हल्चल']
['here', 'हेरे']
['habeebon', 'हबीबों']
['hitalar', 'हिटलर']
['hasati', 'हँसाती']
['huunhii', 'हूँही']
['hamjaan', 'हम्जान']
['hatake', 'हटके']
['hatke', 'हटके']
['hattke', 'हटके']
['hashr', 'हश्र']
['hansaanewaala', 'हँसानेवाला']
['hazaaron', 'हज़ारो']
['hazin', 'हज़ीं']
['herat', 'हेरत']
['hami', 'हमी']
['huuron', 'हूरों']
['hamanazar', 'हमनज़र']
['hamahi', 'हमही']
['haanke', 'हाँके']
['harik', 'हरिक']
['humdam', 'हुम्दम']
['hirs', 'हिर्स']
['hirana', 'हिरणा']
['hontho', 'होंठो']
['honthava', 'होंठवा']
['hurr', 'हुर्र']
['humnawaaz', 'हमनवाज़']
['hoshamand', 'होशमंद']
['hein', 'हें']
['hathiyaaron', 'हथियारों']
['halaaku', 'हलाकू']
['have', 'हवे']
['haiya', 'हैया']
['hridayakamal', 'हृदयकमल']
['hindostaanii', 'हिन्दोस्तानी']
['haani', 'हानि']
['hiraan', 'हीरां']
['haat', 'हाट']
['hasarati', 'हसरती']
['hilti', 'हिलती']
['hakkaa', 'हक्का']
['hridayeshvari', 'हृदयेश्वरी']
['haasan', 'हासन']
['havaaka', 'हवाका']
['hoom', 'हूम']
['hijraan', 'हिज्राँ']
['hariya', 'हरिया']
['holo', 'होलो']
['hansaate', 'हँसाते']
['haldi', 'हल्दी']
['hati', 'हटी']
['hilen', 'हिलें']
['hatenge', 'हटेंगे']
['hin', 'हिन']
['hansiyaan', 'हँसियाँ']
['harasaten', 'हरसतें']
['hongin', 'होंगीं']
['hongi', 'होंगीं']
['hasana', 'हसना']
['hanjuaan', 'हंजुआँ']
['husnagi', 'हुस्नगी']
['humak', 'हुमक']
['husnavaale', 'हुस्नवाले']
['haai', 'हाइ']
['haaregaa', 'हारेगा']
['hichkichana', 'हिचकिचाना']
['hillori', 'हिल्लोरी']
['hip', 'हिप']
['hurery', 'हुरेर्']
['humtum', 'हमतुम']
['hhmh', 'ह्म्']
['haahaa', 'हाहा']
['haank', 'हांक']
['haathawaala', 'हाथवाला']
['haavadaa', 'हावड़ा']
['haavada', 'हावड़ा']
['hoyegi', 'होएगी']
['hansini', 'हंसिनी']
['hiwda', 'हिवड़ा']
['hitakaari', 'हितकारी']
['het', 'हेत']
['hiriye', 'हिरिये']
['humako', 'हुमको']
['humko', 'हुमको']
['honsh', 'होंश']
['hiyaa', 'हिया']
['hiya', 'हिया']
['hukkuu', 'हुक्कू']
['haashiye', 'हाशिये']
['han', 'हँ']
['hoibe', 'होइबे']
['hatega', 'हटेगा']
['haalon', 'हालों']
['hin', 'हीं']
['hanson', 'हँसों']
['humdum', 'हुमदूम']
['hukm', 'हुक्म']
['hasta', 'हस्ता']
['hasenge', 'हासेंगे']
['habibi', 'हबीबी']
['hamanaais', 'हमनायस']
['hilaayenge', 'हिलाएँगे']
['hasu', 'हासू']
['hearts', 'हार्ट्स']
['hak', 'हक']
['hun', 'हून']
['hujur', 'हुजूर']
['hashr', 'हाशर']
['heaven', 'हेवेन']
['hadshah', 'हादशाह']
['hataata', 'हटाता']
['har', 'हर']
['hi', 'ही']
['holi', 'होली']
['ho', 'हो']
['hain', 'है']
['hue', 'हुए']
['hoti', 'होती']
['hi', 'हि']
['hote', 'होते']
['hain', 'हैं']
['hotels', 'होटेल्स']
['hai', 'है']
['hota', 'होता']
['hona', 'होना']
['heroine', 'हिरोइन']
['huva', 'हुआ']
['huvi', 'हुई']
['hone', 'होने']
['hoon', 'हूँ']
['haal', 'हाल']
['haan', 'हाँ']
['hua', 'हुआ']
['ham', 'हम']
['hokar', 'होकर']
['hindi', 'हिन्दी']
['harivansh', 'हरिवंश']
['hafta', 'हफ़्ता']
['hum', 'हम']
['huee', 'हुई']
['haa', 'हा']
['high', 'हाई']
['hun', 'हूँ']
['hui', 'हुई']
['halanki', 'हालाँकि']
['hinglish', 'हिंगलिश']
['hoker', 'होकर']
['himalay', 'हिमालय']
['hameen', 'हमीं']
['ha', 'हाँ']
['hai', 'हैं']
['hu', 'हूँ']
['harakat', 'हरकत']
['hyderabad', 'हैदराबाद']
['hyderabadi', 'हैदराबादी']
['hee', 'ही']
['huye', 'हुए']
['hospital', 'होस्पिटल']
['hamein', 'हमें']
['hia', 'है']
['humko', 'हमको']
['han', 'हाँ']
['hogaa', 'होगा']
['harkamp', 'हड़कम्प']
['haryana', 'हरियाणा']
['humare', 'हमारे']
['helicopter', 'हेलिकॉप्टर']
['hoti', 'होती']
['hi', 'ही']
['hai', 'हँसी']
['ho', 'हो']
['hand', 'एंड']
['honge', 'होंगे']
['home', 'होम']
['hasi', 'हँसी']
['hissa', 'हिस्सा']
['holani', 'खोदानी']
['hai', 'हैं']
['hashra', 'हश्र']
['hai', 'है']
['haalaat', 'हालात']
['hazaro', 'हजारों']
['hiraasat', 'हिरासत']
['hosla', 'हौसला']
['hansi', 'हँसी']
['hansi', 'हँसी']
['holani', 'खोदानी']
['hain', 'हैं']
['hmedabad', 'अहमदाबाद']
['haalat', 'हालात']
['hazaaron', 'हजारों']
['hariyali', 'हरियाली']
['howrah', 'हावड़ा']
['hinsa', 'हिंसा']
['harmonium', 'हार्मोनियम']
['hussy', 'हस्सी']
['heroin', 'हेरोइन']
['hasil', 'हासिल']
