['roop', 'रूप']
['rotiyaa', 'रोटियाँ']
['rehne', 'रेने']
['raj', 'रज']
['raamam', 'रामम']
['rupapujaari', 'रूपपुजारी']
['raajendra', 'राजेन्द्र']
['rusvaaiyaan', 'रुसवाइयाँ']
['rusavaayiyaan', 'रुसवाइयाँ']
['ruswaayeeyaan', 'रुसवाइयाँ']
['rusavaaiyaan', 'रुसवाइयाँ']
['rangvaayi', 'रंगवाई']
['rangvayi', 'रंगवाई']
['raaji', 'राजी']
['rachaake', 'रचाके']
['rakhke', 'रखके']
['rpriit', 'र्प्रीत']
['rukuungi', 'रुकूँगी']
['radhaji', 'राधाजी']
['roungi', 'रोऊंगी']
['rutabaa', 'रुतबा']
['rutba', 'रुतबा']
['rutaba', 'रुतबा']
['rukti', 'रुकति']
['rache', 'रचे']
['rane', 'रने']
['ramaniyam', 'रमनियम']
['ripudalavaariniin', 'रिपुदलवारिणीं']
['raahoo', 'राहू']
['raahuu', 'राहू']
['raahu', 'राहू']
['raara', 'रारा']
['ravina', 'रवीना']
['raati', 'राती']
['ravondi', 'रवोंदी']
['ronde', 'रोंदे']
['richh', 'रीछ']
['rich', 'रीछ']
['raajpoot', 'राजपूत']
['raliyaan', 'रलियां']
['rukda', 'रुकदा']
['ranjhna', 'राँझना']
['raanjhana', 'राँझना']
['rangana', 'रंगना']
['rangna', 'रंगना']
['raahi', 'राहि']
['rehanewaale', 'रहनेवाले']
['rahanevaale', 'रहनेवाले']
['roshanaai', 'रोशनाई']
['raston', 'रस्तों']
['rukmini', 'रुक्मिनी']
['rupamati', 'रुपमती']
['rukmani', 'रुक्मनी']
['ruthenge', 'रूठेंगे']
['rangamahal', 'रंगमहल']
['rangaraliyon', 'रंगरलियों']
['rehnewaali', 'रहनेवाली']
['rijhaaven', 'रिझावें']
['rachaaven', 'रचावें']
['rulaare', 'रुलारे']
['ratanaar', 'रतनार']
['rasa', 'रसा']
['raang', 'रान्ग']
['roktaa', 'रोकता']
['raajadhaani', 'राजधानी']
['role', 'रोले']
['rita', 'रीता']
['rachegi', 'रचेगी']
['rachege', 'रचेगी']
['ruuk', 'रूक']
['rambha', 'रम्भा']
['ramaiya', 'रमैया']
['ramaiyaa', 'रमैया']
['rahaguzar', 'राहगुज़र']
['ran', 'रन']
['rope', 'रोपे']
['rachaati', 'रचाती']
['rach', 'रच']
['rind', 'रिंद']
['risne', 'रिसने']
['ruukhe', 'रूखे']
['rafat', 'रफ़त']
['ring', 'रिंग']
['riha', 'रिहा']
['ranjishon', 'रंजिशों']
['raakhuun', 'राखूँ']
['ramaya', 'रमया']
['raawita', 'राविता']
['rovat', 'रोवत']
['rahazan', 'रहज़न']
['rokte', 'रोकते']
['ruuthegi', 'रूठेगी']
['rajevaa', 'रजेवा']
['rokoge', 'रोकोगे']
['rudaali', 'रुदाली']
['raanjhadaa', 'राँझड़ा']
['royenge', 'रोयेंगे']
['rasabhari', 'रसभरी']
['rabag', 'रबग']
['rond', 'रोंद']
['rida', 'रिदा']
['rahake', 'रहके']
['radha', 'रधा']
['ranjoor', 'रंजूर']
['ranjuur', 'रंजूर']
['ruqasaar', 'रुक़सार']
['rafataar', 'रफ़तार']
['raqeebon', 'रक़ीबों']
['rusvaaiyaan', 'रुसवाईयां']
['raatama', 'रातमा']
['rooyegi', 'रोयेगी']
['rahanuma', 'रहनुमा']
['rite', 'रीते']
['raza', 'रज़ा']
['rahmat', 'रह्मत']
['rahumat', 'रह्मत']
['rakhiyegaa', 'रखियेगा']
['raati', 'राति']
['rupp', 'रुप्प']
['ramaai', 'रमाई']
['rangaauungi', 'रँगाऊँगी']
['rahabar', 'रहबर']
['rehbar', 'रहबर']
['ribaa', 'रीबा']
['ruubaa', 'रूबा']
['rachaiyaa', 'रचैया']
['rachaiya', 'रचैया']
['raakhe', 'राखे']
['raadheshyaam', 'राधेश्याम']
['ris', 'रिस']
['ravaiya', 'रवैया']
['rashq', 'रश्क़']
['rakhiye', 'रखिये']
['raajamahal', 'राजमहल']
['roli', 'रोली']
['riddhi', 'रिद्धि']
['rulaayenge', 'रुलायेंगे']
['rambha', 'राम्बा']
['raanaaiyaan', 'रानाइयां']
['rusavaaiyaan', 'रुसवाइयां']
['rusvaaiyaan', 'रुसवाइयां']
['ruswaaiyaan', 'रुसवाइयां']
['raaghobaa', 'राघोबा']
['raani', 'राणी']
['rijhaaun', 'रिझाऊँ']
['raman', 'रमन']
['raajgharaana', 'राज्घराना']
['ran', 'रण']
['rasavant', 'रसवन्त']
['raqs', 'रक़्स']
['royee', 'रोईं']
['royi', 'रोईं']
['raajapootaana', 'राजपूताना']
['raajasthaan', 'राजस्थान']
['ratjage', 'रतजगे']
['rihaai', 'रिहाई']
['rahoongi', 'रहोओँगी']
['rachenge', 'रचेंगे']
['rachakar', 'रचाकर']
['raavaan', 'रावां']
['risataa', 'रिसता']
['raay', 'राय']
['rukhsaron', 'रुख़्सारों']
['rijhaao', 'रिझाओ']
['rudan', 'रुदन']
['rumajhum', 'रुमझुम']
['raahe', 'राहे']
['raamaayan', 'रामायण']
['raamayan', 'रामायण']
['ramjaani', 'रमजानी']
['rehate', 'रेहते']
['rasagulla', 'रसगुल्ला']
['ranjish', 'रंजिश']
['rangarejavaa', 'रंगरेजवा']
['ruthal', 'रूठल']
['raghubar', 'रघुबर']
['raashid', 'राशिद']
['rangaraliya', 'रंगरलिया']
['rekh', 'रेख']
['rasmalaai', 'रसमलाई']
['riti', 'रिती']
['raanaaiyaan', 'रानाईयां']
['ruksat', 'रुक्सत']
['royi', 'रोयी']
['rogan', 'रोगण']
['ravan', 'रवन']
['reva', 'रेवा']
['roshani', 'रोशनि']
['ruuthata', 'रूठता']
['rakhun', 'रखूँ']
['raghunayakam', 'रघुनायकम']
['rahamatein', 'रहमतें']
['rassiyaan', 'रस्सियां']
['rahamaniya', 'रहमनिया']
['ravaaniyaan', 'रवानियाँ']
['rekhaon', 'रेखाओं']
['raajaguru', 'राजगुरु']
['roni', 'रोनी']
['raajan', 'राजन']
['reli', 'रेली']
['raamchandraki', 'रामचंद्रकी']
['raamachandra', 'रामचंद्र']
['rangareli', 'रंगरेली']
['rijhaay', 'रिझाय']
['rangarez', 'रंगरेज़']
['rangoon', 'रंगूँ']
['rokane', 'रोकने']
['rachaane', 'रचाने']
['rusavaayiyon', 'रुसवाइयोँ']
['rukhsat', 'रुख़्सत']
['runak', 'रुनक']
['reeti', 'रीति']
['rachaana', 'रचाना']
['ready', 'रेडी']
['realty', 'रियल्टी']
['remote', 'रिमोट']
['runjhunati', 'रुनझुनती']
['raamaacha', 'रामाचा']
['ramacha', 'रामाचा']
['rakshaave', 'रक्षावे']
['rakshave', 'रक्षावे']
['rulaake', 'रुलाके']
['rango', 'रंगो']
['rate', 'रते']
['resasasa', 'रेसससा']
['route', 'रूट']
['ruthoge', 'रूतोगे']
['ronewali', 'रोनेवाली']
['rehjaoonga', 'रहजाऊँगा']
['raatoin', 'राटोइन']
['roku', 'रोकू']
['raftaar', 'रफ्तार']
['raaste', 'रास्ते']
['race', 'रेस']
['racing', 'रेसिंग']
['rehta', 'रहता']
['raha', 'रहा']
['rgv', 'आरजीवी']
['rajdhaani', 'राजधानी']
['rupee', 'रुपी']
['rakhate', 'रखते']
['raay', 'राय']
['ramdhari', 'रामधारी']
['rahe', 'रहे']
['rickshaw', 'रिक्शा']
['road', 'रोड']
['rec', 'आर', 'इ', 'सी']
['rahi', 'रही']
['rajya', 'राज्य']
['rajdhani', 'राजधानी']
['rupayee', 'रूपए']
['research', 'रिसर्च']
['rakh', 'रख']
['rehna', 'रहना']
['rehti', 'रहती']
['rahti', 'रहती']
['responsible', 'रिस्पोन्सिबल']
['rakhte', 'रखते']
['rahta', 'रहता']
['rahata', 'रहता']
['rahete', 'रहते']
['rehtaa', 'रहता']
['rewa', 'रीवा']
['rajnetao', 'राजनेताओं']
['r', 'आर']
['rooprekha', 'रुपरेखा']
['rekh', 'रेख']
['rakhne', 'रखने']
['rahi', 'रही']
['rujhaan', 'रुझान']
['rashtramandal', 'राष्ट्रमंडल']
['rehne', 'रहने']
['regiment', 'रेजिमेंट']
['rajasvo', 'राजस्व']
['rajnaytik', 'राजनीतिक']
['ratlaam', 'रतलाम']
['revar', 'रेवड़']
['rundh', 'रुंध']
['rickshaw', 'वृक्षों']
['rupaye', 'रुपए']
['rajasva', 'राजस्व']
['rupay', 'रुपए']
['rakhega', 'रखेगा']
['raam', 'राम']
['reh', 'रह']
['rannon', 'रानोन']
['roop', 'रुप']
['riparian', 'रिपैरियन']
['rights', 'राइट्स']
['rastramandal', 'राष्ट्रमंडल']
['rahne', 'रहने']
['raajya', 'राज्य']
['raajasv', 'राजस्व']
['raajnitik', 'राजनीतिक']
['ratlam', 'रतलाम']
['revad', 'रेवड़']
['rajya', 'राज्य']
['rupaiye', 'रुपए']
['rajasva', 'राजस्व']
['rajyon', 'राज्यों']
['rail', 'रेल']
