['badan', 'बदन']
['betabiyan', 'बेताबियां']
['betaabiyaa', 'बेताबियां']
['betaabiyaan', 'बेताबियां']
['betaabiya', 'बेताबियां']
['basne', 'बसने']
['basane', 'बसने']
['bedardi', 'बेदर्दी']
['bedardii', 'बेदर्दी']
['bulaatee', 'बुलाती']
['bulaati', 'बुलाती']
['bain', 'बैन']
['bahalaataa', 'बहलाता']
['bahalaata', 'बहलाता']
['behlata', 'बहलाता']
['bahalataa', 'बहलाता']
['bhaayaa', 'भाया']
['bhaaya', 'भाया']
['bhayaa', 'भाया']
['bhulaaye', 'भुलायें']
['bainon', 'बैनों']
['basii', 'बसी']
['basi', 'बसी']
['basee', 'बसी']
['bhaal', 'भाल']
['bachchon', 'बच्चों']
['bachhon', 'बच्चों']
['bageecha', 'बगीचा']
['bagiichaa', 'बगीचा']
['baghicha', 'बगीचा']
['baapu', 'बापू']
['baapuu', 'बापू']
['bhatka', 'भटका']
['batka', 'भटका']
['bamon', 'बमों']
['bamoon', 'बमों']
['bhavishhy', 'भविष्य']
['bhuulo', 'भूलो']
['bolaya', 'बोलया']
['bolayaa', 'बोलया']
['bhra', 'भ्रा']
['bhraa', 'भ्रा']
['bach', 'बच']
['bichhaane', 'बिछाने']
['bezubaan', 'बेज़ुबान']
['bees', 'बीस']
['bis', 'बीस']
['bubala', 'बूबला']
['bu', 'बू']
['buu', 'बू']
['boo', 'बू']
['besharam', 'बेशरम']
['besaram', 'बेशरम']
['bandan', 'बंदन']
['bandha', 'बंधा']
['bandhaa', 'बंधा']
['banaaunga', 'बनाऊंगा']
['banaayuunga', 'बनाऊंगा']
['basaaunga', 'बसाऊंगा']
['bataaye', 'बताए']
['bataae', 'बताए']
['bataye', 'बताए']
['btaye', 'बताए']
['bandhe', 'बंधे']
['bemaani', 'बेमानी']
['badhane', 'बढ़ने']
['badhne', 'बढ़ने']
['banaaungi', 'बनाऊंगी']
['bahakaaye', 'बहकाए']
['bahakaae', 'बहकाए']
['bajaaunga', 'बजाऊंगा']
['baaja', 'बाजा']
['baajaa', 'बाजा']
['baja', 'बाजा']
['bajega', 'बजेगा']
['bajegaa', 'बजेगा']
['bhelapoori', 'भेलपूरी']
['bhadakaayaa', 'भड़काया']
['bhadkaya', 'भड़काया']
['bhadakaaya', 'भड़काया']
['baseraa', 'बसेरा']
['basera', 'बसेरा']
['bichhadane', 'बिछड़ने']
['bichhadne', 'बिछड़ने']
['bichadne', 'बिछड़ने']
['banaayee', 'बनाईं']
['banaayin', 'बनाईं']
['bigadane', 'बिगड़ने']
['bigadne', 'बिगड़ने']
['baag', 'बाग']
['biraha', 'बिरहा']
['birahaa', 'बिरहा']
['birha', 'बिरहा']
['birhaa', 'बिरहा']
['birhaah', 'बिरहा']
['baaje', 'बाजें']
['bayaan', 'बयान']
['bananaa', 'बनना']
['banana', 'बनना']
['banna', 'बनना']
['bannaa', 'बनना']
['boluun', 'बोलूँ']
['boloon', 'बोलूँ']
['bolun', 'बोलूँ']
['boloo', 'बोलूँ']
['bhikhaari', 'भिखारी']
['bhikhaarii', 'भिखारी']
['bhikhari', 'भिखारी']
['bhikari', 'भिखारी']
['bazaar', 'बाज़ार']
['baazar', 'बाज़ार']
['baazaar', 'बाज़ार']
['baajar', 'बाज़ार']
['bhiigo', 'भीगो']
['bheego', 'भीगो']
['bhigo', 'भीगो']
['bhigho', 'भीगो']
['baavare', 'बावरे']
['baaware', 'बावरे']
['baavre', 'बावरे']
['baavri', 'बावरे']
['bharegaa', 'भरेगा']
['bharega', 'भरेगा']
['bangaali', 'बंगाली']
['bangali', 'बंगाली']
['bikri', 'बिक्री']
['bechuun', 'बेचूँ']
['balle', 'बल्ले']
['bhukha', 'भूखा']
['baataan', 'बातां']
['baahir', 'बाहिर']
['banduuk', 'बन्दूक']
['bandook', 'बन्दूक']
['batiyaan', 'बतियां']
['bhigein', 'भीगें']
['bheegen', 'भीगें']
['badalata', 'बदलता']
['badalta', 'बदलता']
['badaltaa', 'बदलता']
['badalataa', 'बदलता']
['bech', 'बेच']
['barbaad', 'बर्बाद']
['barabaad', 'बर्बाद']
['barbad', 'बर्बाद']
['barbaadd', 'बर्बाद']
['besharm', 'बेशर्म']
['baant', 'बांट']
['bah', 'बह']
['beh', 'बह']
['baha', 'बह']
['bhi', 'बह']
['beta', 'बेटा']
['betaa', 'बेटा']
['bajaaye', 'बजाए']
['bajaye', 'बजाए']
['bajaae', 'बजाए']
['bistar', 'बिस्तर']
['bacha', 'बचा']
['bachaa', 'बचा']
['batalaayegi', 'बतलाएगी']
['badalegi', 'बदलेगी']
['badlegi', 'बदलेगी']
['badalegii', 'बदलेगी']
['bhor', 'भोर']
['bore', 'भोर']
['bachane', 'बचने']
['bachne', 'बचने']
['bataaiye', 'बताइये']
['bataayenge', 'बताएँगे']
['bhigati', 'भीगती']
['baanchiye', 'बांचिये']
['baanh', 'बाँह']
['baah', 'बाँह']
['banjaare', 'बंजारे']
['barasaaten', 'बरसातें']
['barsaatein', 'बरसातें']
['barsaate', 'बरसातें']
['barasaatein', 'बरसातें']
['barsatein', 'बरसातें']
['barasaate', 'बरसातें']
['baatana', 'बाँटना']
['bitaa', 'बिता']
['bita', 'बिता']
['bitha', 'बिता']
['babul', 'बाबुल']
['baabul', 'बाबुल']
['baabool', 'बाबुल']
['baabula', 'बाबुल']
['babool', 'बाबुल']
['bachayaa', 'बचाया']
['bachaayaa', 'बचाया']
['bachaaya', 'बचाया']
['bachaya', 'बचाया']
['bharengey', 'भरेंगे']
['bharenge', 'भरेंगे']
['bechaara', 'बेचारा']
['bechaaraa', 'बेचारा']
['bechara', 'बेचारा']
['bigado', 'बिगड़ो']
['bebaak', 'बेबाक']
['bachaana', 'बचाना']
['bachana', 'बचाना']
['bachaanaa', 'बचाना']
['bahaka', 'बहका']
['behaka', 'बहका']
['behka', 'बहका']
['bahakaa', 'बहका']
['bahkaa', 'बहका']
['baheka', 'बहका']
['barasaate', 'बरसाते']
['berukhi', 'बेरुखी']
['bekataa', 'बेख़ता']
['bekata', 'बेख़ता']
['bhuj', 'बुझ']
['bujh', 'बुझ']
['buz', 'बुझ']
['bujhi', 'बुझ']
['behlaati', 'बहलाती']
['bahalaati', 'बहलाती']
['bhaala', 'भाला']
['bhala', 'भाला']
['bhaalaa', 'भाला']
['beqason', 'बेक़सों']
['beena', 'बीना']
['bina', 'बीना']
['binaa', 'बीना']
['biinaa', 'बीना']
['beenaa', 'बीना']
['badhaayen', 'बढ़ाये']
['badhaaye', 'बढ़ाये']
['badhaye', 'बढ़ाये']
['banaaon', 'बनाऊँ']
['banaun', 'बनाऊँ']
['banaaoon', 'बनाऊँ']
['banaauun', 'बनाऊँ']
['banaayuun', 'बनाऊँ']
['banaaun', 'बनाऊँ']
['bujhaun', 'बुझाऊँ']
['bujhaaoon', 'बुझाऊँ']
['bujhaayuun', 'बुझाऊँ']
['badara', 'बदरा']
['badra', 'बदरा']
['badaraa', 'बदरा']
['badraa', 'बदरा']
['barse', 'बर्से']
['bedi', 'बेड़ी']
['bojhaa', 'बोझा']
['bojha', 'बोझा']
['badali', 'बदली']
['badli', 'बदली']
['badalii', 'बदली']
['baddli', 'बदली']
['bekaaro', 'बेकारो']
['business', 'बुसिनेस्स']
['bandhu', 'बन्धु']
['bawri', 'बाँवरी']
['baanvarii', 'बाँवरी']
['baanvari', 'बाँवरी']
['baanvare', 'बाँवरी']
['baawaree', 'बाँवरी']
['buujhe', 'बूझे']
['bujhe', 'बूझे']
['boojhe', 'बूझे']
['bhaagii', 'भागी']
['bhagi', 'भागी']
['bhaagi', 'भागी']
['bhiigaa', 'भीगा']
['bheega', 'भीगा']
['bhiga', 'भीगा']
['bheegaa', 'भीगा']
['bhigaa', 'भीगा']
['beegha', 'भीगा']
['baaraa', 'बारा']
['baara', 'बारा']
['baaran', 'बारा']
['baarah', 'बारा']
['bhuulakar', 'भूलकर']
['bhulakar', 'भूलकर']
['bhanvaraa', 'भँवरा']
['bhanvara', 'भँवरा']
['bhanwara', 'भँवरा']
['bhanwaraa', 'भँवरा']
['bhanwra', 'भँवरा']
['bhanvra', 'भँवरा']
['bamamukach', 'बममुकच']
['behna', 'बहना']
['bahanaa', 'बहना']
['bahana', 'बहना']
['bahena', 'बहना']
['bilkul', 'बिलकुल']
['bilakul', 'बिलकुल']
['bhent', 'भेंट']
['behan', 'बहन']
['bahan', 'बहन']
['behen', 'बहन']
['basein', 'बसें']
['basen', 'बसें']
['boone', 'बुने']
['buney', 'बुने']
['bune', 'बुने']
['bebasee', 'बेबसी']
['bebasi', 'बेबसी']
['bebasii', 'बेबसी']
['bebassi', 'बेबसी']
['bete', 'बेटे']
['baharupiya', 'बहरुपिया']
['bimaari', 'बीमारी']
['beemaari', 'बीमारी']
['bimari', 'बीमारी']
['bahala', 'बहला']
['behala', 'बहला']
['bahalaa', 'बहला']
['bahela', 'बहला']
['behla', 'बहला']
['batalaayenge', 'बतलाएंगे']
['bha', 'भा']
['banoongi', 'बनूंगी']
['banuungi', 'बनूंगी']
['bangla', 'बँगला']
['banglaa', 'बँगला']
['baliye', 'बलिए']
['basayenge', 'बसाएंगे']
['basaaenge', 'बसाएंगे']
['basaayenge', 'बसाएंगे']
['badhke', 'बढ़के']
['badhake', 'बढ़के']
['barhke', 'बढ़के']
['bahanon', 'बहनों']
['behanon', 'बहनों']
['bekhayaali', 'बेख्याली']
['bichhua', 'बिछुआ']
['bichua', 'बिछुआ']
['bichhwa', 'बिछुआ']
['bedarda', 'बेदर्दा']
['baazuon', 'बाज़ुओं']
['baajuo', 'बाज़ुओं']
['bijuri', 'बिजुरी']
['bijurii', 'बिजुरी']
['badanasib', 'बदनसीब']
['badnaseeb', 'बदनसीब']
['badanasiib', 'बदनसीब']
['baantein', 'बाँटें']
['baante', 'बाँटें']
['bujhne', 'बुझने']
['bujhane', 'बुझने']
['baandh', 'बांध']
['baaraati', 'बाराती']
['bajaate', 'बाराती']
['baarati', 'बाराती']
['bharathee', 'बाराती']
['barati', 'बाराती']
['binaayiyaan', 'बीनाइयाँ']
['bokar', 'बोकर']
['basaao', 'बसाओ']
['bedard', 'बेदर्द']
['berooh', 'बेरूह']
['badhaao', 'बढ़ाओ']
['badhao', 'बढ़ाओ']
['beharuupiye', 'बहरूपिये']
['bahekaye', 'बहकाये']
['behakaye', 'बहकाये']
['badalti', 'बदलती']
['badalati', 'बदलती']
['badalatii', 'बदलती']
['badri', 'बदरी']
['badari', 'बदरी']
['badarii', 'बदरी']
['bijliyan', 'बिजलियाँ']
['bijaliyaan', 'बिजलियाँ']
['bijliyaan', 'बिजलियाँ']
['balkhaake', 'बलखाके']
['balakhaake', 'बलखाके']
['bartaav', 'बर्ताव']
['badalu', 'बदलू']
['bandi', 'बंदी']
['bijaliyon', 'बिजलियों']
['bel', 'बेल']
['batalaana', 'बतलाना']
['batlaana', 'बतलाना']
['batalaanaa', 'बतलाना']
['batlana', 'बतलाना']
['boonden', 'बूँदें']
['buunden', 'बूँदें']
['boondein', 'बूँदें']
['boondien', 'बूँदें']
['buundein', 'बूँदें']
['badhen', 'बढ़ें']
['bhaaye', 'भाये']
['bhaye', 'भाये']
['badhega', 'बढ़ेगा']
['badhegaa', 'बढ़ेगा']
['bahate', 'बहते']
['behte', 'बहते']
['behate', 'बहते']
['behten', 'बहते']
['behtey', 'बहते']
['bahane', 'बहने']
['behne', 'बहने']
['behane', 'बहने']
['bahne', 'बहने']
['bahere', 'बहरे']
['baheri', 'बहरी']
['baalamawaa', 'बालमवा']
['baalamawa', 'बालमवा']
['bitaai', 'बिताई']
['bitaaii', 'बिताई']
['bitaayi', 'बिताई']
['bindiya', 'बिन्दिया']
['bindiyaa', 'बिन्दिया']
['bikhere', 'बिखेरे']
['baandhi', 'बाँधी']
['bechaari', 'बेचारी']
['bechari', 'बेचारी']
['bechaaree', 'बेचारी']
['bechaarii', 'बेचारी']
['boonde', 'बूंदे']
['bunde', 'बूंदे']
['baadha', 'बाधा']
['badariya', 'बदरिया']
['badareeyaa', 'बदरिया']
['badariyaa', 'बदरिया']
['bundiyaan', 'बुंदियाँ']
['banduuk', 'बंदूक']
['banduk', 'बंदूक']
['bandook', 'बंदूक']
['batein', 'बतें']
['buudhon', 'बूढ़ों']
['bikharate', 'बिखरते']
['baaqi', 'बाक़ी']
['baaqii', 'बाक़ी']
['baante', 'बाँटे']
['baate', 'बाँटे']
['bitiya', 'बिटिया']
['barasaaye', 'बरसाए']
['barasaye', 'बरसाए']
['barsaaye', 'बरसाए']
['barasaae', 'बरसाए']
['barsaye', 'बरसाए']
['bahal', 'बहल']
['bahel', 'बहल']
['behal', 'बहल']
['banaate', 'बनाते']
['banate', 'बनाते']
['bhejaa', 'भेजा']
['bheja', 'भेजा']
['bichhate', 'बिछते']
['baharoop', 'बहरूप']
['banda', 'बंदा']
['bandaa', 'बंदा']
['bezubaan', 'बेज़ुबाँ']
['baa', 'बा']
['ba', 'बा']
['bhar', 'बा']
['barasaati', 'बरसाती']
['barsaati', 'बरसाती']
['bhuutaganaadisevitamh', 'भूतगणादिसेवितम्']
['bipad', 'बिपद']
['balihaari', 'बलिहारी']
['bujhaane', 'बुझाने']
['buzaane', 'बुझाने']
['bujhane', 'बुझाने']
['bhuulana', 'भूलना']
['bhulana', 'भूलना']
['bhuulanaa', 'भूलना']
['begaanaapan', 'बेगानापन']
['bahale', 'बहले']
['baat', 'बाट']
['besudh', 'बेसुध']
['bekabar', 'बेख़बर']
['bair', 'बैर']
['besaharaa', 'बेसहरा']
['besahara', 'बेसहरा']
['bano', 'बनो']
['besahaaraa', 'बेसहारा']
['besahaara', 'बेसहारा']
['besahara', 'बेसहारा']
['bazaaron', 'बज़ारों']
['beeraa', 'बीरा']
['biiraa', 'बीरा']
['baayaraa', 'बायरा']
['baayara', 'बायरा']
['banda', 'बन्दा']
['bandaa', 'बन्दा']
['baaraatein', 'बारातें']
['baaraaten', 'बारातें']
['baaraate', 'बारातें']
['badanaami', 'बदनामी']
['badnami', 'बदनामी']
['badnaami', 'बदनामी']
['badanaamii', 'बदनामी']
['bassaye', 'बसाये']
['basaaye', 'बसाये']
['basaye', 'बसाये']
['badnaam', 'बद्नाम']
['bal', 'बल']
['baal', 'बल']
['bhalai', 'भलाई']
['bhalaai', 'भलाई']
['bedaa', 'बेड़ा']
['beda', 'बेड़ा']
['beqas', 'बेक़स']
['barbaadi', 'बरबादी']
['barabaadi', 'बरबादी']
['barbadi', 'बरबादी']
['barabaadee', 'बरबादी']
['barabaadii', 'बरबादी']
['begaane', 'बेगाने']
['begane', 'बेगाने']
['begana', 'बेगाने']
['begaanon', 'बेगाने']
['basiya', 'बसिया']
['basiyaa', 'बसिया']
['baagon', 'बागों']
['baghon', 'बागों']
['baaghon', 'बागों']
['baago', 'बागों']
['behatari', 'बेहतरी']
['besuri', 'बेसुरी']
['barbaadiyon', 'बर्बादियों']
['bitaaun', 'बिताऊँ']
['bitanoo', 'बिताऊँ']
['bitaaoon', 'बिताऊँ']
['bitaauun', 'बिताऊँ']
['bitaayuun', 'बिताऊँ']
['bitaoun', 'बिताऊँ']
['bujho', 'बूझो']
['bulaate', 'बुलाते']
['bulate', 'बुलाते']
['bulatey', 'बुलाते']
['baaise', 'बाइस']
['baais', 'बाइस']
['bataate', 'बताते']
['bujhi', 'बुझी']
['buji', 'बुझी']
['bhuji', 'बुझी']
['bhujaaon', 'भुजाओं']
['bikher', 'बिखेर']
['bahaane', 'बहाने']
['bahaabe', 'बहाने']
['bahane', 'बहाने']
['bahaney', 'बहाने']
['behane', 'बहाने']
['baadabaan', 'बादबां']
['berang', 'बेरंग']
['bharke', 'भरके']
['bekhud', 'बेखुद']
['bekhudh', 'बेखुद']
['bandagi', 'बंदगी']
['bandigi', 'बंदगी']
['bandagee', 'बंदगी']
['barasta', 'बरसता']
['barasataa', 'बरसता']
['barasata', 'बरसता']
['bheegta', 'भीगता']
['bheegataa', 'भीगता']
['bides', 'बिदेस']
['barasa', 'बरसा']
['barasaa', 'बरसा']
['barsa', 'बरसा']
['barsaa', 'बरसा']
['beqasi', 'बेक़सी']
['basaanaa', 'बसाना']
['basaana', 'बसाना']
['bhuuluun', 'भूलूँ']
['bujhaanaa', 'बुझाना']
['bujhaana', 'बुझाना']
['bujhana', 'बुझाना']
['benaam', 'बेनाम']
['benam', 'बेनाम']
['bataayen', 'बतायें']
['bataayein', 'बतायें']
['batayen', 'बतायें']
['bataaye', 'बतायें']
['barabaadiyaan', 'बरबादियाँ']
['barbaadiyaan', 'बरबादियाँ']
['basaayenge', 'बसायेंगे']
['bismillah', 'बिस्मिल्लाह']
['bandhu', 'बंधु']
['bhrata', 'भ्राता']
['baadariya', 'बादरिया']
['baadariyaa', 'बादरिया']
['badariya', 'बादरिया']
['bhaae', 'भाए']
['bhaye', 'भाए']
['bachaane', 'बचाने']
['bachane', 'बचाने']
['bigul', 'बिगुल']
['beto', 'बेटो']
['bhaav', 'भाव']
['bhav', 'भाव']
['bhaava', 'भाव']
['bhave', 'भाव']
['billi', 'बिल्ली']
['billii', 'बिल्ली']
['barasate', 'बरसते']
['baraste', 'बरसते']
['bahot', 'बहोत']
['bikat', 'बिकट']
['bikharanewaale', 'बिखरनेवाले']
['bheje', 'भेजे']
['badalanewaale', 'बदलनेवाले']
['bandho', 'बंधो']
['baawan', 'बावन']
['banawata', 'बनवाता']
['begam', 'बेगम']
['begum', 'बेगम']
['bhikshaa', 'भिक्षा']
['bhiksha', 'भिक्षा']
['baaj', 'बाज']
['baaz', 'बाज']
['baj', 'बाज']
['beetenge', 'बीतेंगे']
['bun', 'बुन']
['bunde', 'बुन्दे']
['bichadenge', 'बिछड़ेंगे']
['bichhadenge', 'बिछड़ेंगे']
['bichdege', 'बिछड़ेंगे']
['balamajii', 'बलमजी']
['bahanein', 'बहनें']
['bahanen', 'बहनें']
['behne', 'बहनें']
['bhej', 'भेज']
['biichak', 'बीचक']
['baanvare', 'बाँवरे']
['baavare', 'बाँवरे']
['bahalaayaa', 'बहलाया']
['bahalaaya', 'बहलाया']
['behalaaya', 'बहलाया']
['banaao', 'बनाओ']
['banaayo', 'बनाओ']
['barasega', 'बरसेगा']
['barasegaa', 'बरसेगा']
['barsega', 'बरसेगा']
['bhanvare', 'भँवरे']
['bhanwre', 'भँवरे']
['bhanvre', 'भँवरे']
['bhanware', 'भँवरे']
['bane', 'बनें']
['banen', 'बनें']
['bachaao', 'बचाओ']
['bachao', 'बचाओ']
['banega', 'बनेगा']
['banegaa', 'बनेगा']
['baraabar', 'बराबर']
['barabar', 'बराबर']
['bachaae', 'बचाये']
['bachaaye', 'बचाये']
['bachaye', 'बचाये']
['baraat', 'बरात']
['baaraat', 'बरात']
['banjaaran', 'बन्जारन']
['bairaagi', 'बैरागी']
['bairagi', 'बैरागी']
['bairaagan', 'बैरागन']
['bedardon', 'बेदर्दों']
['bande', 'बंदे']
['bandon', 'बंदों']
['boluun', 'बोलूं']
['bolun', 'बोलूं']
['bayaan', 'बयाँ']
['bayan', 'बयाँ']
['bataayuunga', 'बताऊँगा']
['badarwa', 'बदरवा']
['badaravaa', 'बदरवा']
['badarava', 'बदरवा']
['baaji', 'बाजी']
['baji', 'बाजी']
['bajee', 'बाजी']
['baajii', 'बाजी']
['baazi', 'बाजी']
['basaaye', 'बसाए']
['basaye', 'बसाए']
['basaae', 'बसाए']
['banane', 'बनने']
['banne', 'बनने']
['bundan', 'बुँदन']
['byaakul', 'ब्याकुल']
['bedaar', 'बेदार']
['bhaanp', 'भाँप']
['bhaamph', 'भाँप']
['bidh', 'बिध']
['bichh', 'बिछ']
['bich', 'बिछ']
['bhukhe', 'भूखे']
['bhuukhe', 'भूखे']
['bhayenge', 'भाएँगे']
['bhaaenge', 'भाएँगे']
['baan', 'बान']
['bhaar', 'भार']
['bujhaaye', 'बुझाएँ']
['bujhaayen', 'बुझाएँ']
['bujhaayein', 'बुझाएँ']
['bacho', 'बचो']
['bekhayaal', 'बेखायाल']
['basati', 'बसती']
['baste', 'बसती']
['basti', 'बसती']
['bahi', 'बही']
['bandishon', 'बंदिशों']
['balah', 'बलाह']
['bar', 'भर']
['baarishon', 'बारीशों']
['besahram', 'बेसहराम']
['bhaave', 'भावे']
['bhave', 'भावे']
['bataave', 'बतावे']
['bujhaave', 'बुझावे']
['bejaar', 'बेजार']
['barso', 'बरसो']
['barson', 'बरसो']
['baraso', 'बरसो']
['barsoh', 'बरसो']
['badhate', 'बढ़ते']
['badhte', 'बढ़ते']
['boni', 'बोनी']
['beriyon', 'बेरियों']
['ber', 'बेर']
['bechkar', 'बेचकर']
['bote', 'बोते']
['bataati', 'बताती']
['batati', 'बताती']
['bekarariya', 'बेकरारिया']
['bekaraarian', 'बेकरारिया']
['badgumaa', 'बदगुमा']
['badguma', 'बदगुमा']
['boyaa', 'बोया']
['boya', 'बोया']
['bejuba', 'बजुबा']
['baahe', 'बाहे']
['biba', 'बीबा']
['bedari', 'बेडारी']
['bhigebhige', 'भिगेभिगे']
['bahome', 'बाहोमे']
['basar', 'बसर']
['badhati', 'बढ़ती']
['badhti', 'बढ़ती']
['baandhakar', 'बाँधकर']
['bereham', 'बेरहम']
['beraham', 'बेरहम']
['bahaara', 'बहारा']
['bahara', 'बहारा']
['bijuriya', 'बीजूरिया']
['baadaliya', 'बादलिया']
['baarishein', 'बारिशें']
['baarishe', 'बारिशें']
['bhini', 'भीनी']
['bemaariyan', 'बेमारियाँ']
['betha', 'बेता']
['betaa', 'बेता']
['beta', 'बेता']
['bring', 'ब्रिंग']
['b', 'ब']
['ba', 'ब']
['bull', 'बुल']
['bul', 'बुल']
['bhangra', 'भंगरा']
['beparwaah', 'बेपरवाह']
['beparwah', 'बेपरवाह']
['buhe', 'बुहे']
['baariya', 'बारिया']
['baindi', 'बैंडी']
['bhulaavi', 'भुलावी']
['behaal', 'बहाल']
['beriyaan', 'बेरियाँ']
['bairiyaan', 'बैरियाँ']
['baataan', 'बातान']
['baati', 'बाटी']
['bikharein', 'बिखारें']
['betaabiyaan', 'बेताबियाँ']
['betaabian', 'बेताबियाँ']
['betaabiyan', 'बेताबियाँ']
['betaabiya', 'बेताबियाँ']
['betabiyan', 'बेताबियाँ']
['betabiyaan', 'बेताबियाँ']
['bolu', 'बोलू']
['bechainiyon', 'बेचैनियों']
['becheiniyon', 'बेचैनियों']
['bunake', 'बुनके']
['bahot', 'बहोट']
['banno', 'बन्नो']
['bukhaar', 'बुखार']
['barne', 'भरने']
['bharne', 'भरने']
['baawadi', 'बावादी']
['baaw', 'बाव']
['barister', 'बारिस्टेर']
['bona', 'बोना']
['bhejungaa', 'भेजूंगा']
['bhejuungaa', 'भेजूंगा']
['baansuriya', 'बाँसुरिया']
['baansuriyaa', 'बाँसुरिया']
['baasureeyaa', 'बाँसुरिया']
['baasureeyaan', 'बाँसुरिया']
['bajai', 'बजाई']
['bajaai', 'बजाई']
['bajaayi', 'बजाई']
['bihaari', 'बिहारी']
['bani', 'बनि']
['bachapan', 'बच्पन']
['bachpan', 'बच्पन']
['baasi', 'बासी']
['basi', 'बासी']
['bujhaaya', 'बुझाय']
['beeraanaa', 'बीराना']
['biiraanaa', 'बीराना']
['bachakar', 'बचकर']
['bachkar', 'बचकर']
['badlega', 'बदलेगा']
['badalega', 'बदलेगा']
['badalegaa', 'बदलेगा']
['bahakana', 'बहकना']
['behekna', 'बहकना']
['behakna', 'बहकना']
['bahekna', 'बहकना']
['bahakanaa', 'बहकना']
['bahaye', 'बहाए']
['bahaae', 'बहाए']
['bahaaye', 'बहाए']
['bhulaata', 'भुलाता']
['bharte', 'भरते']
['bechaini', 'बेचैनी']
['barchaa', 'बरछा']
['bado', 'बदो']
['barasuun', 'बरसूं']
['badalenge', 'बदलेंगे']
['badlenge', 'बदलेंगे']
['baraham', 'बरहम']
['bandar', 'बन्दर']
['besahaaron', 'बेसहारों']
['bigada', 'बिगड़ा']
['bigadaa', 'बिगड़ा']
['bigda', 'बिगड़ा']
['bure', 'बुरे']
['bureh', 'बुरे']
['basaaungi', 'बसाऊँगी']
['basaayuungi', 'बसाऊँगी']
['barahaaman', 'बरहामन']
['baraataan', 'बराताँ']
['bahalaayen', 'बहलायें']
['bataaen', 'बताएं']
['bataaein', 'बताएं']
['bataayen', 'बताएं']
['bezaar', 'बेज़ार']
['baithun', 'बैठूँ']
['badlo', 'बदलो']
['badalo', 'बदलो']
['bulon', 'बुलबुलों']
['bulabulon', 'बुलबुलों']
['bulbulo', 'बुलबुलों']
['birangi', 'बिरंगी']
['bhagaaen', 'भगाएं']
['bhig', 'भीग']
['beeg', 'भीग']
['baanka', 'बांका']
['bosa', 'बोसा']
['bundaara', 'बुंदारा']
['bezubaan', 'बेज़बान']
['balki', 'बलकी']
['bichaara', 'बिचारा']
['batalaayein', 'बतलाएं']
['batalaayen', 'बतलाएं']
['bataao', 'बताओ']
['batao', 'बताओ']
['bataon', 'बताओ']
['bataoo', 'बताओ']
['bataavo', 'बताओ']
['batavo', 'बताओ']
['bataayo', 'बताओ']
['btao', 'बताओ']
['buundaniyon', 'बूँदनियों']
['bajaati', 'बजाती']
['baadaravaa', 'बादरवा']
['baadarava', 'बादरवा']
['baadarawa', 'बादरवा']
['bijuriyaa', 'बिजुरिया']
['bijuriya', 'बिजुरिया']
['bijureeyaa', 'बिजुरिया']
['bizuriya', 'बिजुरिया']
['bikharengi', 'बिखरेंगी']
['banavat', 'बनावट']
['banaavat', 'बनावट']
['banaawat', 'बनावट']
['babuji', 'बाबूजी']
['baabuji', 'बाबूजी']
['baabooji', 'बाबूजी']
['bemariyaan', 'बीमारियाँ']
['bandhti', 'बाँधती']
['bandhu', 'बन्धू']
['bansi', 'बन्सी']
['bansibat', 'बंसीबट']
['bartan', 'बर्तन']
['bahakate', 'बहकते']
['batiyate', 'बतियाते']
['bekali', 'बेकली']
['baraati', 'बराती']
['baaraati', 'बराती']
['bahaate', 'बहाते']
['bahate', 'बहाते']
