['ghula', 'घुला']
['girahagir', 'गिरहगीर']
['girein', 'गिरें']
['giren', 'गिरें']
['gitwa', 'गितवा']
['goonja', 'गूंजा']
['gunja', 'गूंजा']
['gandale', 'गंदले']
['gudgudati', 'गुदगुदाती']
['gungunaayen', 'गुनगुनायें']
['guzarte', 'गुजरते']
['ghabrate', 'घबराते']
['ghabaraate', 'घबराते']
['ghabhraate', 'घबराते']
['ganvaara', 'गंवारा']
['ganwara', 'गंवारा']
['ginati', 'गिनती']
['ginti', 'गिनती']
['gahoon', 'गहूँ']
['gaayo', 'गायो']
['godaam', 'गोदाम']
['gunagun', 'गुनगुन']
['govindaa', 'गोविंदा']
['govinda', 'गोविंदा']
['gvaale', 'ग्वाले']
['gauriihar', 'गौरीहर']
['gosaaviinandan', 'गोसावीनंदन']
['ghaalin', 'घालिन']
['garbhavatyenirupitam', 'गर्भवत्येनिरुपितम']
['gatoduram', 'गतोदुरम']
['goongi', 'गूँगी']
['ganvaana', 'गंवाना']
['golaaiyaan', 'गोलाइयां']
['gili', 'गिलि']
['ghabaraai', 'घबराई']
['ghabrai', 'घबराई']
['ghabraai', 'घबराई']
['gauri', 'गौरी']
['ghungaru', 'घुँगरू']
['giraati', 'गिराती']
['gyaan', 'ग्यान']
['ghamon', 'गमों']
['guzara', 'गुजारा']
['gaayenge', 'गाएँगे']
['gavaah', 'गवाह']
['gawaah', 'गवाह']
['gaayegi', 'गाएगी']
['gaaegi', 'गाएगी']
['gulbule', 'गुलबुले']
['gulgule', 'गुलगुले']
['gaanvaana', 'गाँवाना']
['gwaalan', 'ग्वालन']
['guzarataa', 'ग़ुज़रता']
['gend', 'गेंद']
['geind', 'गेंद']
['ghuumegaa', 'घूमेगा']
['ghoomega', 'घूमेगा']
['gajug', 'गजुग']
['gilein', 'गिलें']
['gir', 'गीर']
['gyaarah', 'ग्यारह']
['gyarah', 'ग्यारह']
['ganvaate', 'गँवाते']
['gehara', 'गेहरा']
['gwal', 'ग्वाल']
['gvaal', 'ग्वाल']
['gharavaale', 'घरवाले']
['gharwale', 'घरवाले']
['gaayen', 'गायेँ']
['guna', 'गुना']
['gapama', 'गपम']
['gyaani', 'ग़्यानी']
['giroge', 'गिरोगे']
['girenge', 'गिरेंगे']
['guzaaro', 'गुज़ारो']
['ghulne', 'घुलने']
['galne', 'गलने']
['galane', 'गलने']
['girengi', 'गिरेंगी']
['girebaan', 'गिरेबाँ']
['ge', 'गे']
['gariban', 'गरीबन']
['gohar', 'गोहर']
['guzaro', 'गुज़रो']
['gunaahagaar', 'ग़ुनाहगार']
['giraate', 'गिराते']
['gilori', 'गिलोरी']
['ganja', 'गंजा']
['gaayungi', 'गाउँगी']
['gaaungi', 'गाउँगी']
['guftagu', 'गुफ़्तगू']
['guftaguu', 'गुफ़्तगू']
['ghumaa', 'घूमा']
['ganga', 'गन्गा']
['gangaajal', 'गन्गाजल']
['garo', 'गरो']
['gaambe', 'गाम्बे']
['gada', 'घड़ा']
['gustaakhiyon', 'ग़ुस्ताख़ियों']
['gustaakiyon', 'ग़ुस्ताख़ियों']
['ghadiyaan', 'घड़ियां']
['gunahagaaron', 'गुनहगारों']
['giniyaa', 'गिनिया']
['ghodeji', 'घोड़ेजी']
['golta', 'घोलता']
['garane', 'घराने']
['gaune', 'गौने']
['gopiyaan', 'गोपियाँ']
['goriyaan', 'गोरियाँ']
['gumbad', 'गुम्बद']
['gharondon', 'घरोंदों']
['gustakhiyan', 'गुस्ताखियाँ']
['goliyaan', 'गोलियाँ']
['gaj', 'गज']
['govindam', 'गोविन्दम']
['gopaalam', 'गोपालम']
['gilli', 'गिल्ली']
['garibakaane', 'ग़रीबख़ाने']
['ganje', 'गंजे']
['gholi', 'घोली']
['gahan', 'गहन']
['gaan', 'गान']
['giraaoon', 'गिराऊँ']
['gahareele', 'गहरीले']
['gulistaan', 'गुलिस्ताँ']
['goron', 'गोरों']
['gheron', 'घेरों']
['gunde', 'गुंडे']
['guzaarana', 'गुज़ारना']
['gulistan', 'गुलिस्तान']
['gulistaan', 'गुलिस्तान']
['guzaaroon', 'गुज़ारूं']
['guzaarun', 'गुज़ारूं']
['ganvaai', 'गंवाई']
['gayina', 'गईना']
['ghumaane', 'घुमाने']
['gi', 'गी']
['gulbuuta', 'गुलबूटा']
['guzarati', 'ग़ुज़रती']
['gaayegi', 'गायेगी']
['gunagunaaye', 'गुनगुनाए']
['gungunaye', 'गुनगुनाए']
['ghunghunaaye', 'गुनगुनाए']
['gunagunaae', 'गुनगुनाए']
['gunaah', 'ग़ुनाह']
['galeeche', 'गलीचे']
['ghi', 'घी']
['gadi', 'गडि']
['gavaaya', 'गवाया']
['gavaai', 'गवाइ']
['giro', 'गिरो']
['gaaiye', 'गाईये']
['galle', 'गल्ले']
['galaan', 'गलाँ']
['gujri', 'गुजरी']
['gujari', 'गुजरी']
['ganvaayi', 'गँवायी']
['ganvaayii', 'गँवायी']
['guzarein', 'गुज़रें']
['guzaren', 'गुज़रें']
['ghaatiyaan', 'घाटियाँ']
['give', 'गिव']
['gold', 'गोल्ड']
['ghumon', 'घूमों']
['ghuumon', 'घूमों']
['gir', 'घर']
['garama', 'गरमा']
['gumanaam', 'ग़ुमनाम']
['ganvaara', 'गँवारा']
['ginoge', 'गिनोगे']
['gaah', 'ग़ाह']
['gi', 'गि']
['ginoon', 'गिनूँ']
['ghadiyon', 'घड़ियों']
['gudiyaaghar', 'गुड़ियाघर']
['gehrai', 'गेहराई']
['garibi', 'गरीबी']
['garja', 'गरजा']
['garaja', 'गरजा']
['gaon', 'गाओं']
['gati', 'गति']
['gujaaruun', 'गुजारूँ']
['ghataavo', 'घटावो']
['ganvaani', 'गँवानी']
['garajane', 'गरजने']
['giraayi', 'गिराई']
['giraane', 'गिराने']
['goriyon', 'गोरियों']
['ghumar', 'घुमर']
['ghabaraaiye', 'घबराइये']
['ghabraiye', 'घबराइये']
['gaayuungi', 'गाऊंगी']
['gaaoge', 'गाओगे']
['gada', 'गड़ा']
['gamazaa', 'ग़मज़ा']
['gaaliib', 'ग़ालीब']
['gawaana', 'गवाना']
['gholuun', 'घोलूँ']
['gusaar', 'गुसार']
['gusal', 'गुसल']
['gindane', 'गिंदने']
['garibon', 'गरिबों']
['guzaarin', 'गुज़ारीं']
['ganvaake', 'गँवाके']
['gazadaan', 'गज़दाँ']
['giraan', 'गिराँ']
['gavanava', 'गवनवा']
['garamiyon', 'गरमियों']
['guzaarataa', 'ग़ुज़ारता']
['guzarate', 'ग़ुज़रते']
['ghabaraayenge', 'घबराएँगे']
['guzarani', 'गुज़रनी']
['girein', 'गीरें']
['gunaayaa', 'गुनाया']
['gaakar', 'गाकर']
['gina', 'गिना']
['galegi', 'गलेगी']
['gunguna', 'गुन्गुना']
['gurur', 'ग़ुरुर']
['gamagusaar', 'ग़मगुसार']
['ghamgusaar', 'ग़मगुसार']
['gulon', 'ग़ुलों']
['guzariya', 'गुज़रिया']
['gopi', 'गोपी']
['garazadaar', 'गरज़दार']
['gheren', 'घेरें']
['gholti', 'घोलती']
['girebaanon', 'गिरेबानों']
['gaarii', 'गारी']
['gaari', 'गारी']
['giri', 'गिरि']
['gurudvaare', 'गुरुद्वारे']
['gyaata', 'ग्याता']
['gusa', 'ग़ुसा']
['gote', 'गोटे']
['goshti', 'गोष्टि']
['ganvaauun', 'गँवाऊँ']
['ghataaen', 'घटाएँ']
['gor', 'गोर']
['gaah', 'गाह']
['guftaar', 'ग़ुफ़्तार']
['gunahagaari', 'ग़ुनहगारी']
['ghaatiyon', 'घाटियों']
['gaaing', 'गाइंग']
['gunchon', 'गुंचों']
['gad', 'गड़']
['gadh', 'गड़']
['ghume', 'घूमे']
['gulazaaro', 'गुलज़ारो']
['ghutati', 'घुटती']
['goliyon', 'गोलियों']
['giradhaari', 'गिरधारी']
['gvaalon', 'ग्वालों']
['gunagunaao', 'गुनगुनाओ']
['gya', 'ग्या']
['gavaiya', 'गवैया']
['gandharv', 'गन्धर्व']
['git', 'गित']
['garmaaya', 'गर्माया']
['garmiyaan', 'गर्मियाँ']
['gunaate', 'गुनाते']
['gunagunaayee', 'गुनगुनायी']
['gulabadani', 'गुलबदनी']
['gulzaariyaan', 'गुल्ज़ारियां']
['ghabaraakar', 'घबराकर']
['gurave', 'गुरवे']
['govardhan', 'गोवर्धन']
['gat', 'गत']
['giraton', 'गिरतों']
['garaji', 'गरजी']
['garb', 'गर्ब']
['got', 'गोट']
['garj', 'गर्ज']
['gaddaar', 'गद्दार']
['gova', 'गोवा']
['gahanon', 'गहनों']
['guzaregaa', 'गुज़रेगा']
['garajati', 'गरजती']
['guunjega', 'गूंजेगा']
['gop', 'गोप']
['guaalaa', 'गुआला']
['gaganava', 'गगनवा']
['gaavan', 'गावन']
['gangaaraam', 'गंगाराम']
['gulanashin', 'गुलनशीं']
['gunjaar', 'गुंजार']
['ghoomana', 'घूमना']
['ghumein', 'घुमें']
['giravar', 'गिरवर']
['galate', 'गलते']
['gut', 'गुत']
['gayiyaan', 'गईयाँ']
['gyaaraah', 'ग्यारा']
['gaamini', 'गामिनी']
['gird', 'गिर्द']
['giriyaan', 'गिरियाँ']
['goga', 'गोगा']
['garaara', 'गरारा']
['ghabaraayegi', 'घबराएगी']
['ghabaraaegi', 'घबराएगी']
['gustakhiyaan', 'गुस्ताखियां']
['giniye', 'गिनिए']
['ghategi', 'घटेगी']
['garazata', 'गरज़ता']
['gitaar', 'गिटार']
['guhar', 'गुहर']
['gazalon', 'ग़ज़लों']
['ginon', 'गिनों']
['gan', 'गन']
['ghungharaale', 'घुँघराले']
['govindaay', 'गोविन्दाय']
['gaavuun', 'गावूँ']
['ganna', 'गन्ना']
['guzaarta', 'गुज़ारता']
['gede', 'गेडे']
['gadarila', 'गदरीला']
['gudiyon', 'गुडियों']
['goonjata', 'गूंजता']
['gunagunaake', 'गुनगुनाके']
['guzarneko', 'गुज़ारने']
['gyaani', 'ग्यानी']
['ganvaae', 'गंवाए']
['gawaah', 'ग़वाह']
['gunche', 'ग़ुन्चे']
['gaadiwaala', 'गाड़ीवाला']
['gamazada', 'ग़मज़दा']
['gare', 'गरे']
['giregi', 'गिरेगी']
['giraftagi', 'गिरफ़्तगी']
['govind', 'गोविंद']
['galo', 'गलो']
['geele', 'गीले']
['gile', 'गीले']
['gidh', 'गीध']
['gajre', 'ग्जरे']
['gulbadan', 'गुल्बदन']
['gumanaam', 'गुमनाम']
['guunjat', 'गूंजत']
['girake', 'गिरके']
['gagan', 'गगण']
['ganvaate', 'गंवाते']
['gajal', 'गजल']
['gutaraguun', 'गुटरगूं']
['gunjaaish', 'गुंजाइश']
['gumaunga', 'घुमाऊंगा']
['garebaan', 'गरेबां']
['giraayegi', 'गिराएगी']
['gheere', 'घेएरे']
['gherenge', 'घेरेंगे']
['gunaahagaar', 'गुनाहगार']
['garajat', 'गरजत']
['gufaao', 'गुफाओ']
['ghaagariya', 'घागरिया']
['ghagriya', 'घागरिया']
['gajaanand', 'गजानांद']
['gungi', 'गूंगी']
['goongi', 'गूंगी']
['girftaar', 'गिरफ्तार']
['girunga', 'गिरूँगा']
['gumm', 'गुम्म']
['gujaari', 'गुजारी']
['guzari', 'गुजारी']
['gubugubugubugubugu', 'गुबुगुबुगुबुगुबुगु']
['gubugubu', 'गुबुगुबू']
['guest', 'गेस्ट']
['gona', 'गोना']
['gaddiyaan', 'गद्दियाँ']
['gati', 'गति']
['gujarat', 'गुजरात']
['gaya', 'गया']
['god', 'गुड']
['ghar', 'घर']
['green', 'ग्रीन']
['ghoomne', 'घूमने']
['ghatiya', 'घटिया']
['galli', 'गली']
['ghante', 'घंटे']
['ghodon', 'घोडों']
['geet', 'गीत']
['gupt', 'गुप्त']
['gaanaa', 'गाना']
['gayaa', 'गया']
['gayi', 'गई']
['ghat', 'घाट']
['gaon', 'गाँव']
['goojarti', 'गुजरती']
['ganga', 'गंगा']
['gandak', 'गंडक']
['gehoon', 'गेहूँ']
['gaye', 'गए']
['gantantrik', 'गणतांत्रिक']
['ghoomti', 'घूमती']
['group', 'ग्रुप']
['games', 'गेम्स']
['graduation', 'ग्रेजुएशन']
['grameen', 'ग्रामीण']
['ghatna', 'घटना']
['gawah', 'गवाह']
['gend', 'गेन्द']
['govind', 'गोविन्द']
['gauri', 'गौरी']
['goro', 'गौरों']
['gaon', 'गाँव']
['geeta', 'गीता']
['gair', 'गैर']
['gurubhai', 'गुरुभाई']
['ganna', 'गन्ना']
['gatbandhan', 'गठबंधन']
['galtiyo', 'गलतियों']
['girdhari', 'गिरधारी']
['gandhinagar', 'गाँधीनगर']
['gahan', 'गहन']
['grand', 'ग्रैन्ड']
['god', 'गौड़']
['gal', 'गल']
['ghoshit', 'घोषित']
['grahan', 'ग्रहण']
['govind', 'गोविन्द']
['gaanv', 'गाँव']
['gauri', 'गौरी']
['goron', 'गौरों']
['gaanv', 'गाँव']
['gaanv', 'गाँव']
['gita', 'गीता']
['gur-bhai', 'गुरुभाई']
['ghatnayen', 'घटना']
['ganna', 'गन्ना']
['gathbandhan', 'गठबंधन']
['galtiyon', 'गलतियों']
['girdhari', 'गिरधारी']
['gehre', 'गहन']
['grand', 'ग्रैन्ड']
['ganguli', 'गाँगुली']
['gas', 'गैस']
